source_index|h_power|x_power|y_power|expr
44|0|0|13|-auxP2_0_10*h_0_3-auxP2_0_11*h_0_2-auxP2_0_7-auxP2_0_8*h_0_5-auxP2_0_9*h_0_4+auxP3_0_13-h_0_1
45|0|0|14|-auxP2_0_10*h_0_4-auxP2_0_11*h_0_3-auxP2_0_8-auxP2_0_9*h_0_5+auxP3_0_14-h_0_2
46|0|0|15|-auxP2_0_10*h_0_5-auxP2_0_11*h_0_4-auxP2_0_9+auxP3_0_15-h_0_3
47|0|0|16|-auxP2_0_10-auxP2_0_11*h_0_5+auxP3_0_16-h_0_4
48|0|0|17|-auxP2_0_11+auxP3_0_17-h_0_5
49|0|1|0|-A3_1_0-auxP2_0_0*h_1_0-auxP2_1_0*h_0_0+auxP3_1_0
50|0|1|1|-A3_1_1-auxP2_0_0*h_1_1-auxP2_0_1*h_1_0-auxP2_1_0*h_0_1-auxP2_1_1*h_0_0+auxP3_1_1
51|0|1|2|-A3_1_2-auxP2_0_1*h_1_1-auxP2_0_2*h_1_0-auxP2_1_0*h_0_2-auxP2_1_1*h_0_1-auxP2_1_2*h_0_0+auxP3_1_2
52|0|1|3|-A3_1_3-auxP2_0_2*h_1_1-auxP2_0_3*h_1_0-auxP2_1_0*h_0_3-auxP2_1_1*h_0_2-auxP2_1_2*h_0_1-auxP2_1_3*h_0_0+auxP3_1_3
53|0|1|4|-A3_1_4-auxP2_0_3*h_1_1-auxP2_0_4*h_1_0-auxP2_1_0*h_0_4-auxP2_1_1*h_0_3-auxP2_1_2*h_0_2-auxP2_1_3*h_0_1-auxP2_1_4*h_0_0+auxP3_1_4
54|0|1|5|-A3_1_5-auxP2_0_4*h_1_1-auxP2_0_5*h_1_0-auxP2_1_0*h_0_5-auxP2_1_1*h_0_4-auxP2_1_2*h_0_3-auxP2_1_3*h_0_2-auxP2_1_4*h_0_1-auxP2_1_5*h_0_0+auxP3_1_5
55|0|1|6|-auxP2_0_5*h_1_1-auxP2_0_6*h_1_0-auxP2_1_0-auxP2_1_1*h_0_5-auxP2_1_2*h_0_4-auxP2_1_3*h_0_3-auxP2_1_4*h_0_2-auxP2_1_5*h_0_1-auxP2_1_6*h_0_0+auxP3_1_6
56|0|1|7|-auxP2_0_6*h_1_1-auxP2_0_7*h_1_0-auxP2_1_1-auxP2_1_2*h_0_5-auxP2_1_3*h_0_4-auxP2_1_4*h_0_3-auxP2_1_5*h_0_2-auxP2_1_6*h_0_1-auxP2_1_7*h_0_0+auxP3_1_7
57|0|1|8|-auxP2_0_7*h_1_1-auxP2_0_8*h_1_0-auxP2_1_2-auxP2_1_3*h_0_5-auxP2_1_4*h_0_4-auxP2_1_5*h_0_3-auxP2_1_6*h_0_2-auxP2_1_7*h_0_1+auxP3_1_8
