step|x_power|y_power|linear_monic_H1|row_vanishes_H2|rhs_v_free_H3
1|0|42|PASS|PASS|PASS
2|1|40|PASS|PASS|PASS
3|2|38|PASS|PASS|PASS
4|3|36|PASS|PASS|PASS
5|0|41|PASS|PASS|PASS
6|4|34|PASS|PASS|PASS
7|5|32|PASS|PASS|PASS
8|6|30|PASS|PASS|PASS
9|7|28|PASS|PASS|PASS
10|8|26|PASS|PASS|PASS
11|9|24|PASS|PASS|PASS
12|1|39|PASS|PASS|PASS
13|10|22|PASS|PASS|PASS
