step|source_index|h_power|x_power|y_power|variable|coefficient_Qstar|rhs
1|516|7|0|0|A1_1_1|-15|-4/5*h0_0_4^2*s2*A1_0_4-4/5*h0_0_4^2*s3*A1_0_4+1/5*h0_0_4^3*A1_1_4-4/5*h0_0_4^2*A1_0_4-4/5*h0_0_4*h0_1_3*A1_0_4+4/5*h0_0_3*s2*A1_0_4+4/5*h0_0_3*s3*A1_0_4-3/5*h0_0_4*h0_0_3*A1_1_4+3/5*h0_0_4*s2*A1_0_3+3/5*h0_0_4*s3*A1_0_3-1/5*h0_0_4^2*A1_1_3+4/5*h0_0_3*A1_0_4+4/5*h0_1_2*A1_0_4+3/5*h0_0_2*A1_1_4+3/5*h0_0_4*A1_0_3+3/5*h0_1_3*A1_0_3+2/5*h0_0_3*A1_1_3-2/5*s2*A1_0_2-2/5*s3*A1_0_2+1/5*h0_0_4*A1_1_2-2/5*A1_0_2
2|515|7|0|1|A1_1_2|-15|4/5*h0_0_4*s2*A1_0_4+4/5*h0_0_4*s3*A1_0_4-1/5*h0_0_4^2*A1_1_4+4/5*h0_0_4*A1_0_4+4/5*h0_1_3*A1_0_4+2/5*h0_0_3*A1_1_4-3/5*s2*A1_0_3-3/5*s3*A1_0_3+1/5*h0_0_4*A1_1_3-3/5*A1_0_3
3|514|7|0|2|A1_1_3|-15|-4/5*s2*A1_0_4-4/5*s3*A1_0_4+1/5*h0_0_4*A1_1_4-4/5*A1_0_4
