step|source_index|h_power|x_power|y_power|variable|coefficient_Qstar|rhs
1|64|17|0|1|a5_1|9|13/9*q5_1
2|63|16|0|1|a6_1|9|4/3*a1_0*q5_1+13/9*q6_1
3|62|15|0|1|a7_1|9|11/9*a2_0*q5_1-91/81*q2_0*q5_1+4/3*a1_0*q6_1+13/9*q7_1
4|61|14|0|1|a8_1|9|-28/27*a1_0*q2_0*q5_1+10/9*a3_0*q5_1-26/27*q3_0*q5_1+11/9*a2_0*q6_1-91/81*q2_0*q6_1+4/3*a1_0*q7_1+13/9*q8_1
5|60|13|0|0|a9_2|18|26/81*q5_1^2+13/9*q9_1
6|59|13|0|1|a9_1|9|-77/81*a2_0*q2_0*q5_1+637/729*q2_0^2*q5_1-8/9*a1_0*q3_0*q5_1-28/27*a1_0*q2_0*q6_1-65/81*q4_0*q5_1+10/9*a3_0*q6_1-26/27*q3_0*q6_1+11/9*a2_0*q7_1-91/81*q2_0*q7_1+4/3*a1_0*q8_1+13/9*q9_0
7|58|12|0|0|a10_2|18|-26/81*b4*q5_1^2+2/9*a1_0*q5_1^2+52/81*q5_1*q6_1+4/3*a1_0*q9_1
8|57|12|0|1|a10_1|9|196/243*a1_0*q2_0^2*q5_1-70/81*a3_0*q2_0*q5_1-22/27*a2_0*q3_0*q5_1+364/243*q2_0*q3_0*q5_1-20/27*a1_0*q4_0*q5_1+26/81*b3*q5_1^2-77/81*a2_0*q2_0*q6_1+637/729*q2_0^2*q6_1-8/9*a1_0*q3_0*q6_1-28/27*a1_0*q2_0*q7_1+8/9*a5_0*q5_1-52/81*q5_0*q5_1-65/81*q4_0*q6_1+10/9*a3_0*q7_1-26/27*q3_0*q7_1+11/9*a2_0*q8_1-91/81*q2_0*q8_1+4/3*a1_0*q9_0
9|56|11|0|0|a11_2|18|-2/9*b4*a1_0*q5_1^2+11/81*a2_0*q5_1^2-91/243*q2_0*q5_1^2-52/81*b4*q5_1*q6_1+4/9*a1_0*q5_1*q6_1+26/81*q6_1^2+52/81*q5_1*q7_1+11/9*a2_0*q9_1-91/81*q2_0*q9_1
10|55|11|0|1|a11_1|9|539/729*a2_0*q2_0^2*q5_1-4459/6561*q2_0^3*q5_1+112/81*a1_0*q2_0*q3_0*q5_1+2/9*b3*a1_0*q5_1^2+196/243*a1_0*q2_0^2*q6_1-20/27*a3_0*q3_0*q5_1+52/81*q3_0^2*q5_1-55/81*a2_0*q4_0*q5_1+910/729*q2_0*q4_0*q5_1-16/27*a1_0*q5_0*q5_1-70/81*a3_0*q2_0*q6_1-22/27*a2_0*q3_0*q6_1+364/243*q2_0*q3_0*q6_1-20/27*a1_0*q4_0*q6_1+52/81*b3*q5_1*q6_1-77/81*a2_0*q2_0*q7_1+637/729*q2_0^2*q7_1-8/9*a1_0*q3_0*q7_1-28/27*a1_0*q2_0*q8_1+7/9*a6_0*q5_1-13/27*q5_1*q6_0+8/9*a5_0*q6_1-52/81*q5_0*q6_1-65/81*q4_0*q7_1+10/9*a3_0*q8_1-26/27*q3_0*q8_1+11/9*a2_0*q9_0-91/81*q2_0*q9_0
11|54|10|0|0|a12_2|18|-11/81*b4*a2_0*q5_1^2+91/243*b4*q2_0*q5_1^2-56/243*a1_0*q2_0*q5_1^2-4/9*b4*a1_0*q5_1*q6_1+5/81*a3_0*q5_1^2-65/243*q3_0*q5_1^2+22/81*a2_0*q5_1*q6_1-182/243*q2_0*q5_1*q6_1-26/81*b4*q6_1^2+2/9*a1_0*q6_1^2-52/81*b4*q5_1*q7_1+4/9*a1_0*q5_1*q7_1-28/27*a1_0*q2_0*q9_1+52/81*q6_1*q7_1+52/81*q5_1*q8_1+10/9*a3_0*q9_1-26/27*q3_0*q9_1
12|53|10|0|1|a12_1|9|-1372/2187*a1_0*q2_0^3*q5_1+490/729*a3_0*q2_0^2*q5_1+308/243*a2_0*q2_0*q3_0*q5_1-1274/729*q2_0^2*q3_0*q5_1+16/27*a1_0*q3_0^2*q5_1+280/243*a1_0*q2_0*q4_0*q5_1+11/81*b3*a2_0*q5_1^2-91/243*b3*q2_0*q5_1^2+539/729*a2_0*q2_0^2*q6_1-4459/6561*q2_0^3*q6_1+112/81*a1_0*q2_0*q3_0*q6_1+4/9*b3*a1_0*q5_1*q6_1+196/243*a1_0*q2_0^2*q7_1-56/81*a5_0*q2_0*q5_1-50/81*a3_0*q4_0*q5_1+260/243*q3_0*q4_0*q5_1-44/81*a2_0*q5_0*q5_1+728/729*q2_0*q5_0*q5_1-4/9*a1_0*q5_1*q6_0-20/27*a3_0*q3_0*q6_1+52/81*q3_0^2*q6_1-55/81*a2_0*q4_0*q6_1+910/729*q2_0*q4_0*q6_1-16/27*a1_0*q5_0*q6_1+26/81*b3*q6_1^2-70/81*a3_0*q2_0*q7_1-22/27*a2_0*q3_0*q7_1+364/243*q2_0*q3_0*q7_1-20/27*a1_0*q4_0*q7_1+52/81*b3*q5_1*q7_1-77/81*a2_0*q2_0*q8_1+637/729*q2_0^2*q8_1-8/9*a1_0*q3_0*q8_1-28/27*a1_0*q2_0*q9_0+2/3*a7_0*q5_1+7/9*a6_0*q6_1-13/27*q6_0*q6_1-26/81*q5_1*q7_0+8/9*a5_0*q7_1-52/81*q5_0*q7_1-65/81*q4_0*q8_1+10/9*a3_0*q9_0-26/27*q3_0*q9_0
13|52|9|0|0|a13_2|18|56/243*b4*a1_0*q2_0*q5_1^2-5/81*b4*a3_0*q5_1^2-77/729*a2_0*q2_0*q5_1^2+637/2187*q2_0^2*q5_1^2+65/243*b4*q3_0*q5_1^2-4/27*a1_0*q3_0*q5_1^2-22/81*b4*a2_0*q5_1*q6_1+182/243*b4*q2_0*q5_1*q6_1-112/243*a1_0*q2_0*q5_1*q6_1-2/9*b4*a1_0*q6_1^2-4/9*b4*a1_0*q5_1*q7_1-130/729*q4_0*q5_1^2+10/81*a3_0*q5_1*q6_1-130/243*q3_0*q5_1*q6_1+11/81*a2_0*q6_1^2-91/243*q2_0*q6_1^2+22/81*a2_0*q5_1*q7_1-182/243*q2_0*q5_1*q7_1-52/81*b4*q6_1*q7_1+4/9*a1_0*q6_1*q7_1-52/81*b4*q5_1*q8_1+4/9*a1_0*q5_1*q8_1-77/81*a2_0*q2_0*q9_1+637/729*q2_0^2*q9_1-8/9*a1_0*q3_0*q9_1+26/81*q7_1^2+52/81*q6_1*q8_1+52/81*q5_1*q9_0-65/81*q4_0*q9_1
14|51|9|0|1|a13_1|9|-3773/6561*a2_0*q2_0^3*q5_1+31213/59049*q2_0^4*q5_1-392/243*a1_0*q2_0^2*q3_0*q5_1-56/243*b3*a1_0*q2_0*q5_1^2-1372/2187*a1_0*q2_0^3*q6_1+280/243*a3_0*q2_0*q3_0*q5_1+44/81*a2_0*q3_0^2*q5_1-364/243*q2_0*q3_0^2*q5_1+770/729*a2_0*q2_0*q4_0*q5_1-3185/2187*q2_0^2*q4_0*q5_1+80/81*a1_0*q3_0*q4_0*q5_1+224/243*a1_0*q2_0*q5_0*q5_1+5/81*b3*a3_0*q5_1^2-65/243*b3*q3_0*q5_1^2+490/729*a3_0*q2_0^2*q6_1+308/243*a2_0*q2_0*q3_0*q6_1-1274/729*q2_0^2*q3_0*q6_1+16/27*a1_0*q3_0^2*q6_1+280/243*a1_0*q2_0*q4_0*q6_1+22/81*b3*a2_0*q5_1*q6_1-182/243*b3*q2_0*q5_1*q6_1+2/9*b3*a1_0*q6_1^2+539/729*a2_0*q2_0^2*q7_1-4459/6561*q2_0^3*q7_1+112/81*a1_0*q2_0*q3_0*q7_1+4/9*b3*a1_0*q5_1*q7_1+196/243*a1_0*q2_0^2*q8_1-49/81*a6_0*q2_0*q5_1-16/27*a5_0*q3_0*q5_1+325/729*q4_0^2*q5_1-40/81*a3_0*q5_0*q5_1+208/243*q3_0*q5_0*q5_1-11/27*a2_0*q5_1*q6_0+182/243*q2_0*q5_1*q6_0-56/81*a5_0*q2_0*q6_1-50/81*a3_0*q4_0*q6_1+260/243*q3_0*q4_0*q6_1-44/81*a2_0*q5_0*q6_1+728/729*q2_0*q5_0*q6_1-4/9*a1_0*q6_0*q6_1-8/27*a1_0*q5_1*q7_0-20/27*a3_0*q3_0*q7_1+52/81*q3_0^2*q7_1-55/81*a2_0*q4_0*q7_1+910/729*q2_0*q4_0*q7_1-16/27*a1_0*q5_0*q7_1+52/81*b3*q6_1*q7_1-70/81*a3_0*q2_0*q8_1-22/27*a2_0*q3_0*q8_1+364/243*q2_0*q3_0*q8_1-20/27*a1_0*q4_0*q8_1+52/81*b3*q5_1*q8_1-77/81*a2_0*q2_0*q9_0+637/729*q2_0^2*q9_0-8/9*a1_0*q3_0*q9_0+5/9*a8_0*q5_1+2/3*a7_0*q6_1-26/81*q6_1*q7_0+7/9*a6_0*q7_1-13/27*q6_0*q7_1-13/81*q5_1*q8_0+8/9*a5_0*q8_1-52/81*q5_0*q8_1-65/81*q4_0*q9_0
