source_index|h_power|x_power|y_power|min_weight|max_weight|homogeneous
0|0|1|2|83|83|1
1|0|1|1|84|84|1
2|0|1|0|85|85|1
3|0|0|3|83|83|1
4|0|0|2|84|84|1
5|0|0|1|85|85|1
6|0|0|0|86|86|1
7|1|1|2|79|79|1
8|1|1|1|80|80|1
9|1|0|3|79|79|1
10|1|0|2|80|80|1
11|1|0|1|81|81|1
12|1|0|0|82|82|1
13|2|1|2|75|75|1
14|2|1|1|76|76|1
15|2|0|3|75|75|1
16|2|0|2|76|76|1
17|2|0|1|77|77|1
18|2|0|0|78|78|1
19|3|1|2|71|71|1
20|3|1|1|72|72|1
21|3|0|3|71|71|1
22|3|0|2|72|72|1
23|3|0|1|73|73|1
24|3|0|0|74|74|1
25|4|1|2|67|67|1
26|4|1|1|68|68|1
27|4|0|3|67|67|1
28|4|0|2|68|68|1
29|4|0|1|69|69|1
30|4|0|0|70|70|1
31|5|1|2|63|63|1
32|5|0|3|63|63|1
33|5|0|2|64|64|1
34|5|0|1|65|65|1
35|5|0|0|66|66|1
36|6|1|2|59|59|1
37|6|0|3|59|59|1
38|6|0|2|60|60|1
39|6|0|1|61|61|1
40|6|0|0|62|62|1
41|7|1|2|55|55|1
42|7|0|3|55|55|1
43|7|0|2|56|56|1
44|7|0|1|57|57|1
45|7|0|0|58|58|1
