index	exponent_vector	monomial
1	8,0,0	b4^8
2	7,1,0	b4^7*q2_0
3	4,3,0	b4^4*q2_0^3
4	6,2,0	b4^6*q2_0^2
5	1,5,0	b4*q2_0^5
6	3,4,0	b4^3*q2_0^4
7	4,2,1	b4^4*q2_0^2*b3
8	6,1,1	b4^6*q2_0*b3
9	0,6,0	q2_0^6
10	5,0,2	b4^5*b3^2
11	1,4,1	b4*q2_0^4*b3
12	3,3,1	b4^3*q2_0^3*b3
13	0,3,2	q2_0^3*b3^2
14	2,2,2	b4^2*q2_0^2*b3^2
15	4,1,2	b4^4*q2_0*b3^2
16	0,5,1	q2_0^5*b3
17	1,1,3	b4*q2_0*b3^3
18	3,0,3	b4^3*b3^3
19	0,0,4	b3^4
20	0,2,3	q2_0^2*b3^3
