index	exponent_vector	monomial
95	3,3,4,2,0,0,0	b4^3*q2_0^3*q3_0^4*q4_0^2
96	5,2,4,2,0,0,0	b4^5*q2_0^2*q3_0^4*q4_0^2
97	7,1,4,2,0,0,0	b4^7*q2_0*q3_0^4*q4_0^2
98	9,0,4,2,0,0,0	b4^9*q3_0^4*q4_0^2
99	0,6,3,2,0,0,0	q2_0^6*q3_0^3*q4_0^2
100	2,5,3,2,0,0,0	b4^2*q2_0^5*q3_0^3*q4_0^2
101	4,4,3,2,0,0,0	b4^4*q2_0^4*q3_0^3*q4_0^2
102	6,3,3,2,0,0,0	b4^6*q2_0^3*q3_0^3*q4_0^2
103	8,2,3,2,0,0,0	b4^8*q2_0^2*q3_0^3*q4_0^2
104	10,1,3,2,0,0,0	b4^10*q2_0*q3_0^3*q4_0^2
105	12,0,3,2,0,0,0	b4^12*q3_0^3*q4_0^2
106	1,7,2,2,0,0,0	b4*q2_0^7*q3_0^2*q4_0^2
107	3,6,2,2,0,0,0	b4^3*q2_0^6*q3_0^2*q4_0^2
108	5,5,2,2,0,0,0	b4^5*q2_0^5*q3_0^2*q4_0^2
109	7,4,2,2,0,0,0	b4^7*q2_0^4*q3_0^2*q4_0^2
110	9,3,2,2,0,0,0	b4^9*q2_0^3*q3_0^2*q4_0^2
111	11,2,2,2,0,0,0	b4^11*q2_0^2*q3_0^2*q4_0^2
112	13,1,2,2,0,0,0	b4^13*q2_0*q3_0^2*q4_0^2
113	15,0,2,2,0,0,0	b4^15*q3_0^2*q4_0^2
114	0,9,1,2,0,0,0	q2_0^9*q3_0*q4_0^2
115	2,8,1,2,0,0,0	b4^2*q2_0^8*q3_0*q4_0^2
116	4,7,1,2,0,0,0	b4^4*q2_0^7*q3_0*q4_0^2
117	6,6,1,2,0,0,0	b4^6*q2_0^6*q3_0*q4_0^2
118	8,5,1,2,0,0,0	b4^8*q2_0^5*q3_0*q4_0^2
119	0,2,7,1,0,0,0	q2_0^2*q3_0^7*q4_0
