index	exponent_vector	monomial
1	14,0,0,0,0,0	b4^14
2	13,1,0,0,0,0	b4^13*q2_0
3	10,3,0,0,0,0	b4^10*q2_0^3
4	12,2,0,0,0,0	b4^12*q2_0^2
5	7,5,0,0,0,0	b4^7*q2_0^5
6	9,4,0,0,0,0	b4^9*q2_0^4
7	2,8,0,0,0,0	b4^2*q2_0^8
8	4,7,0,0,0,0	b4^4*q2_0^7
9	6,6,0,0,0,0	b4^6*q2_0^6
10	6,5,1,0,0,0	b4^6*q2_0^5*q3_0
11	8,4,1,0,0,0	b4^8*q2_0^4*q3_0
12	1,9,0,0,0,0	b4*q2_0^9
13	10,2,2,0,0,0	b4^10*q2_0^2*q3_0^2
14	12,1,2,0,0,0	b4^12*q2_0*q3_0^2
15	1,8,1,0,0,0	b4*q2_0^8*q3_0
16	3,7,1,0,0,0	b4^3*q2_0^7*q3_0
17	5,6,1,0,0,0	b4^5*q2_0^6*q3_0
18	0,10,0,0,0,0	q2_0^10
19	10,1,3,0,0,0	b4^10*q2_0*q3_0^3
20	12,0,3,0,0,0	b4^12*q3_0^3
21	1,7,2,0,0,0	b4*q2_0^7*q3_0^2
22	3,6,2,0,0,0	b4^3*q2_0^6*q3_0^2
23	5,5,2,0,0,0	b4^5*q2_0^5*q3_0^2
24	7,4,2,0,0,0	b4^7*q2_0^4*q3_0^2
25	9,3,2,0,0,0	b4^9*q2_0^3*q3_0^2
26	0,9,1,0,0,0	q2_0^9*q3_0
27	6,2,4,0,0,0	b4^6*q2_0^2*q3_0^4
28	8,1,4,0,0,0	b4^8*q2_0*q3_0^4
29	10,0,4,0,0,0	b4^10*q3_0^4
30	1,6,3,0,0,0	b4*q2_0^6*q3_0^3
31	3,5,3,0,0,0	b4^3*q2_0^5*q3_0^3
32	5,4,3,0,0,0	b4^5*q2_0^4*q3_0^3
33	7,3,3,0,0,0	b4^7*q2_0^3*q3_0^3
34	9,2,3,0,0,0	b4^9*q2_0^2*q3_0^3
35	0,8,2,0,0,0	q2_0^8*q3_0^2
36	3,1,6,0,0,0	b4^3*q2_0*q3_0^6
37	5,0,6,0,0,0	b4^5*q3_0^6
38	0,4,5,0,0,0	q2_0^4*q3_0^5
39	2,3,5,0,0,0	b4^2*q2_0^3*q3_0^5
40	4,2,5,0,0,0	b4^4*q2_0^2*q3_0^5
41	6,1,5,0,0,0	b4^6*q2_0*q3_0^5
42	8,0,5,0,0,0	b4^8*q3_0^5
43	1,5,4,0,0,0	b4*q2_0^5*q3_0^4
44	3,4,4,0,0,0	b4^3*q2_0^4*q3_0^4
45	5,3,4,0,0,0	b4^5*q2_0^3*q3_0^4
46	0,7,3,0,0,0	q2_0^7*q3_0^3
47	11,0,3,1,0,0	b4^11*q3_0^3*q4_0
48	0,7,2,1,0,0	q2_0^7*q3_0^2*q4_0
49	2,6,2,1,0,0	b4^2*q2_0^6*q3_0^2*q4_0
50	4,5,2,1,0,0	b4^4*q2_0^5*q3_0^2*q4_0
51	6,4,2,1,0,0	b4^6*q2_0^4*q3_0^2*q4_0
52	8,3,2,1,0,0	b4^8*q2_0^3*q3_0^2*q4_0
53	0,0,8,0,0,0	q3_0^8
54	1,1,7,0,0,0	b4*q2_0*q3_0^7
55	3,0,7,0,0,0	b4^3*q3_0^7
56	0,3,6,0,0,0	q2_0^3*q3_0^6
57	2,2,6,0,0,0	b4^2*q2_0^2*q3_0^6
58	0,6,4,0,0,0	q2_0^6*q3_0^4
59	0,0,7,1,0,0	q3_0^7*q4_0
60	1,1,6,1,0,0	b4*q2_0*q3_0^6*q4_0
61	3,0,6,1,0,0	b4^3*q3_0^6*q4_0
62	0,3,5,1,0,0	q2_0^3*q3_0^5*q4_0
63	2,2,5,1,0,0	b4^2*q2_0^2*q3_0^5*q4_0
64	4,1,5,1,0,0	b4^4*q2_0*q3_0^5*q4_0
65	6,0,5,1,0,0	b4^6*q3_0^5*q4_0
66	1,4,4,1,0,0	b4*q2_0^4*q3_0^4*q4_0
67	3,3,4,1,0,0	b4^3*q2_0^3*q3_0^4*q4_0
68	5,2,4,1,0,0	b4^5*q2_0^2*q3_0^4*q4_0
69	7,1,4,1,0,0	b4^7*q2_0*q3_0^4*q4_0
70	9,0,4,1,0,0	b4^9*q3_0^4*q4_0
71	0,6,3,1,0,0	q2_0^6*q3_0^3*q4_0
72	2,5,3,1,0,0	b4^2*q2_0^5*q3_0^3*q4_0
73	4,4,3,1,0,0	b4^4*q2_0^4*q3_0^3*q4_0
74	6,3,3,1,0,0	b4^6*q2_0^3*q3_0^3*q4_0
75	8,2,3,1,0,0	b4^8*q2_0^2*q3_0^3*q4_0
76	0,2,7,0,0,0	q2_0^2*q3_0^7
77	1,4,3,2,0,0	b4*q2_0^4*q3_0^3*q4_0^2
78	3,3,3,2,0,0	b4^3*q2_0^3*q3_0^3*q4_0^2
79	5,2,3,2,0,0	b4^5*q2_0^2*q3_0^3*q4_0^2
80	7,1,3,2,0,0	b4^7*q2_0*q3_0^3*q4_0^2
81	9,0,3,2,0,0	b4^9*q3_0^3*q4_0^2
82	0,6,2,2,0,0	q2_0^6*q3_0^2*q4_0^2
83	2,5,2,2,0,0	b4^2*q2_0^5*q3_0^2*q4_0^2
84	4,4,2,2,0,0	b4^4*q2_0^4*q3_0^2*q4_0^2
85	6,3,2,2,0,0	b4^6*q2_0^3*q3_0^2*q4_0^2
86	8,2,2,2,0,0	b4^8*q2_0^2*q3_0^2*q4_0^2
87	10,1,2,2,0,0	b4^10*q2_0*q3_0^2*q4_0^2
88	12,0,2,2,0,0	b4^12*q3_0^2*q4_0^2
89	1,7,1,2,0,0	b4*q2_0^7*q3_0*q4_0^2
90	3,6,1,2,0,0	b4^3*q2_0^6*q3_0*q4_0^2
91	5,5,1,2,0,0	b4^5*q2_0^5*q3_0*q4_0^2
92	7,4,1,2,0,0	b4^7*q2_0^4*q3_0*q4_0^2
93	9,3,1,2,0,0	b4^9*q2_0^3*q3_0*q4_0^2
94	11,2,1,2,0,0	b4^11*q2_0^2*q3_0*q4_0^2
95	0,9,0,2,0,0	q2_0^9*q4_0^2
96	0,2,6,1,0,0	q2_0^2*q3_0^6*q4_0
97	0,5,4,1,0,0	q2_0^5*q3_0^4*q4_0
98	3,3,2,3,0,0	b4^3*q2_0^3*q3_0^2*q4_0^3
99	5,2,2,3,0,0	b4^5*q2_0^2*q3_0^2*q4_0^3
100	7,1,2,3,0,0	b4^7*q2_0*q3_0^2*q4_0^3
101	9,0,2,3,0,0	b4^9*q3_0^2*q4_0^3
102	0,6,1,3,0,0	q2_0^6*q3_0*q4_0^3
103	2,5,1,3,0,0	b4^2*q2_0^5*q3_0*q4_0^3
104	4,4,1,3,0,0	b4^4*q2_0^4*q3_0*q4_0^3
105	6,3,1,3,0,0	b4^6*q2_0^3*q3_0*q4_0^3
106	8,2,1,3,0,0	b4^8*q2_0^2*q3_0*q4_0^3
107	10,1,1,3,0,0	b4^10*q2_0*q3_0*q4_0^3
108	12,0,1,3,0,0	b4^12*q3_0*q4_0^3
109	1,7,0,3,0,0	b4*q2_0^7*q4_0^3
110	3,6,0,3,0,0	b4^3*q2_0^6*q4_0^3
111	5,5,0,3,0,0	b4^5*q2_0^5*q4_0^3
112	7,4,0,3,0,0	b4^7*q2_0^4*q4_0^3
113	9,3,0,3,0,0	b4^9*q2_0^3*q4_0^3
114	11,2,0,3,0,0	b4^11*q2_0^2*q4_0^3
115	1,0,6,2,0,0	b4*q3_0^6*q4_0^2
116	0,2,5,2,0,0	q2_0^2*q3_0^5*q4_0^2
117	2,1,5,2,0,0	b4^2*q2_0*q3_0^5*q4_0^2
118	4,0,5,2,0,0	b4^4*q3_0^5*q4_0^2
119	1,3,4,2,0,0	b4*q2_0^3*q3_0^4*q4_0^2
120	3,2,4,2,0,0	b4^3*q2_0^2*q3_0^4*q4_0^2
121	5,1,4,2,0,0	b4^5*q2_0*q3_0^4*q4_0^2
122	7,0,4,2,0,0	b4^7*q3_0^4*q4_0^2
123	0,5,3,2,0,0	q2_0^5*q3_0^3*q4_0^2
124	0,8,1,2,0,0	q2_0^8*q3_0*q4_0^2
125	0,0,4,4,0,0	q3_0^4*q4_0^4
126	1,1,3,4,0,0	b4*q2_0*q3_0^3*q4_0^4
127	3,0,3,4,0,0	b4^3*q3_0^3*q4_0^4
128	0,3,2,4,0,0	q2_0^3*q3_0^2*q4_0^4
129	2,2,2,4,0,0	b4^2*q2_0^2*q3_0^2*q4_0^4
130	4,1,2,4,0,0	b4^4*q2_0*q3_0^2*q4_0^4
131	6,0,2,4,0,0	b4^6*q3_0^2*q4_0^4
132	1,4,1,4,0,0	b4*q2_0^4*q3_0*q4_0^4
133	3,3,1,4,0,0	b4^3*q2_0^3*q3_0*q4_0^4
134	5,2,1,4,0,0	b4^5*q2_0^2*q3_0*q4_0^4
135	7,1,1,4,0,0	b4^7*q2_0*q3_0*q4_0^4
136	9,0,1,4,0,0	b4^9*q3_0*q4_0^4
137	0,6,0,4,0,0	q2_0^6*q4_0^4
138	2,5,0,4,0,0	b4^2*q2_0^5*q4_0^4
139	4,4,0,4,0,0	b4^4*q2_0^4*q4_0^4
140	6,3,0,4,0,0	b4^6*q2_0^3*q4_0^4
141	8,2,0,4,0,0	b4^8*q2_0^2*q4_0^4
142	10,1,0,4,0,0	b4^10*q2_0*q4_0^4
143	12,0,0,4,0,0	b4^12*q4_0^4
144	1,0,5,3,0,0	b4*q3_0^5*q4_0^3
145	0,2,4,3,0,0	q2_0^2*q3_0^4*q4_0^3
146	2,1,4,3,0,0	b4^2*q2_0*q3_0^4*q4_0^3
147	4,0,4,3,0,0	b4^4*q3_0^4*q4_0^3
148	1,3,3,3,0,0	b4*q2_0^3*q3_0^3*q4_0^3
149	3,2,3,3,0,0	b4^3*q2_0^2*q3_0^3*q4_0^3
