index	exponent_vector	monomial
1	12,0,0,0,0	b4^12
2	11,1,0,0,0	b4^11*q2_0
3	8,3,0,0,0	b4^8*q2_0^3
4	10,2,0,0,0	b4^10*q2_0^2
5	5,5,0,0,0	b4^5*q2_0^5
6	7,4,0,0,0	b4^7*q2_0^4
7	0,8,0,0,0	q2_0^8
8	2,7,0,0,0	b4^2*q2_0^7
9	4,6,0,0,0	b4^4*q2_0^6
10	2,6,1,0,0	b4^2*q2_0^6*q3_0
11	4,5,1,0,0	b4^4*q2_0^5*q3_0
12	6,4,1,0,0	b4^6*q2_0^4*q3_0
13	4,4,2,0,0	b4^4*q2_0^4*q3_0^2
14	6,3,2,0,0	b4^6*q2_0^3*q3_0^2
15	8,2,2,0,0	b4^8*q2_0^2*q3_0^2
16	10,1,2,0,0	b4^10*q2_0*q3_0^2
17	1,7,1,0,0	b4*q2_0^7*q3_0
18	2,4,3,0,0	b4^2*q2_0^4*q3_0^3
19	4,3,3,0,0	b4^4*q2_0^3*q3_0^3
20	6,2,3,0,0	b4^6*q2_0^2*q3_0^3
21	8,1,3,0,0	b4^8*q2_0*q3_0^3
22	10,0,3,0,0	b4^10*q3_0^3
23	1,6,2,0,0	b4*q2_0^6*q3_0^2
24	3,5,2,0,0	b4^3*q2_0^5*q3_0^2
25	3,1,5,0,0	b4^3*q2_0*q3_0^5
26	5,0,5,0,0	b4^5*q3_0^5
27	0,4,4,0,0	q2_0^4*q3_0^4
28	2,3,4,0,0	b4^2*q2_0^3*q3_0^4
29	4,2,4,0,0	b4^4*q2_0^2*q3_0^4
30	6,1,4,0,0	b4^6*q2_0*q3_0^4
31	8,0,4,0,0	b4^8*q3_0^4
32	1,5,3,0,0	b4*q2_0^5*q3_0^3
33	0,7,2,0,0	q2_0^7*q3_0^2
34	7,2,2,1,0	b4^7*q2_0^2*q3_0^2*q4_0
35	9,1,2,1,0	b4^9*q2_0*q3_0^2*q4_0
36	11,0,2,1,0	b4^11*q3_0^2*q4_0
37	0,7,1,1,0	q2_0^7*q3_0*q4_0
38	0,0,7,0,0	q3_0^7
39	1,1,6,0,0	b4*q2_0*q3_0^6
40	3,0,6,0,0	b4^3*q3_0^6
41	0,3,5,0,0	q2_0^3*q3_0^5
42	2,2,5,0,0	b4^2*q2_0^2*q3_0^5
43	0,6,3,0,0	q2_0^6*q3_0^3
44	1,1,5,1,0	b4*q2_0*q3_0^5*q4_0
45	3,0,5,1,0	b4^3*q3_0^5*q4_0
46	0,3,4,1,0	q2_0^3*q3_0^4*q4_0
47	2,2,4,1,0	b4^2*q2_0^2*q3_0^4*q4_0
48	4,1,4,1,0	b4^4*q2_0*q3_0^4*q4_0
49	6,0,4,1,0	b4^6*q3_0^4*q4_0
50	1,4,3,1,0	b4*q2_0^4*q3_0^3*q4_0
51	3,3,3,1,0	b4^3*q2_0^3*q3_0^3*q4_0
