denominator	multiplicity	first_label	factorization
1	3662754	current_13_weight	[]
x	189	current_13_first_multipliers	[('x', 1)]
x^16	1	transport_chart_clear	[('x', 16)]
x^2	381	current_13_first_multipliers	[('x', 2)]
x^3	53	current_13_first_multipliers	[('x', 3)]
x^4	30	current_13_first_multipliers	[('x', 4)]
x^5	16	current_13_first_multipliers	[('x', 5)]
x^6	6	current_13_first_multipliers	[('x', 6)]
x^7	2	current_13_first_multipliers	[('x', 7)]
