kind	key	coordinate	coefficient_exact
derivative-only	('g', 'F0', -7, 2)	p69	(-8662500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p70	(-7161000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p71	(-2772000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p72	(59321625/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p73	(-198000000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p74	(-407046750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p75	(-123123000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p76	(-94996125/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p77	(-22932000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p78	(-1365000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p79	(-4046484750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p80	(-2404710000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p81	(-1636145250/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p82	(-1412943750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p83	(-1301865000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p84	(-91728000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p85	(-46305000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p86	(26208000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p87	(-14975218125/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p88	(3772701750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p89	(-23358819375/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p90	(-5480437500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p91	(-1623395625/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p92	(-717345000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p93	(-1789317000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p94	(364455000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p95	(-82569375/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p96	(-8420212500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p97	(129806535750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p98	(-36137805750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p99	(16757077500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p100	(6971340000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p101	(401220000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p102	(-5180418000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p103	(-85050000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p104	(375387407625/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p105	(755395314000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p106	(-63632981250/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p107	(45482962500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p108	(4703947500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p109	(-3310650000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p110	(-8297415000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p111	(1205084936250/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p112	(2342488098750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p113	(-214585301250/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p114	(148167562500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p115	(40862241000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p116	(-3442527000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p117	(3811422596625/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p118	(7188361444500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p119	(60122432250/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p120	(715678078500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p121	(401372982000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p122	(20713843395000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p123	(24889431905250/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p124	(3381656838750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p125	(1639082002500/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p126	(53716897906875/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p127	(40597702341000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p128	(-9692088230250/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p129	(-139226576304750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p130	(16271306196750/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 2)	p131	(156383578395000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	constant	(-2174050125000000/1)*S^0+(-3654677812500000/1)*S^1+(-2081079000000000/1)*S^2+(-334459125000000/1)*S^3|0|0
derivative-only	('g', 'F0', -7, 7)	p64	(-3125000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p72	(-28125000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p81	(-140625000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p91	(-515625000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p100	(-1546875000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p108	(-4021875000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p115	(-9384375000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p121	(-20109375000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p126	(844593750000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p127	(844593750000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p128	(844593750000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p129	(10961843750000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p130	(1671312500000/1)*S^0|0|0
derivative-only	('g', 'F0', -7, 7)	p131	(-16074987500000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	constant	(-1002116729217751429/120)*S^0+(-65984251607081416/15)*S^1+(-128191458187957303/10)*S^2+(153582257988679043/120)*S^3+(-36369311103169687/60)*S^4+(699320998064002/1)*S^5|(658300000/9)*S^0+(-1152025000/9)*S^1+(185146875/2)*S^2+(-288006250/9)*S^3+(41143750/9)*S^4|(312500000/27)*S^0+(-546875000/27)*S^1+(29296875/2)*S^2+(-136718750/27)*S^3+(19531250/27)*S^4
derivative-only	('g', 'F0', -6, 0)	p30	(5/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p31	(-5/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p32	(20/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p33	(65/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p34	(95/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p35	(25/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p36	(345/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p37	(-85/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p39	(-275/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p40	(-1000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p41	(-1325/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p42	(-575/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p43	(-16565/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p44	(3830/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p45	(-1250/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p46	(-490/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p47	(-67685/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p48	(33735/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p49	(70130/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p50	(9235/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p51	(33135/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p52	(1940/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p53	(164975/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p54	(350560/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p55	(725745/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p56	(84325/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p57	(86680/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p58	(946795/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p59	(-974185/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p60	(886935/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p61	(1060145/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p62	(1905265/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p63	(90545/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p64	(4847320/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p65	(-4095035/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p66	(-7780310/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p67	(1878075/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p68	(-5631465/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p69	(-474455/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p70	(63490/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p71	(97045/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p72	(1682820/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p73	(-130420925/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p74	(-89898815/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p75	(-43698300/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p76	(-51075270/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p77	(-30962435/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p78	(-826345/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p79	(-322957810/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p80	(-764649465/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p81	(-533857805/1)*S^0|0|0
