kind	key	coordinate	coefficient_exact
derivative-only	('g', 'F0', -5, 3)	p83	(-121030000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p84	(-343980000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p85	(-277095000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p86	(-95550000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p87	(8710975000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p88	(-10542350000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p89	(3719625000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p90	(-9288825000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p91	(-6210750000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p92	(-5350800000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p93	(-2809800000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p94	(-889875000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p95	(-21000000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p96	(-141445850000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p97	(-233651600000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p98	(-81736550000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p99	(-71117550000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p100	(-18691680000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p101	(-3696000000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p102	(1332000000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p103	(1089000000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p104	(-937287960000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p105	(-878325560000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p106	(-82720950000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p107	(-46886250000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p108	(32675700000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p109	(16549500000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p110	(2842400000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p111	(-790352510000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p112	(-1358189000000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p113	(344429700000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p114	(-31675050000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p115	(29115900000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p116	(-4936800000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p117	(-149127800000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p118	(-4642302500000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p119	(-112700527500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p120	(-576330232500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p121	(-40344315000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p122	(-11564163875000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p123	(-16055888750000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p124	(-987699937500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p125	(-1009971300000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p126	(-26270507600000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p127	(-32363970275000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p128	(-359290750000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p129	(6290019092500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p130	(-24579499945000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p131	(26509892255000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	constant	(307246113281250/1)*S^0+(369208125000000/1)*S^1+(117941484375000/1)*S^2|0|0
derivative-only	('g', 'F0', -5, 8)	p79	(-17578125/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p89	(-175781250/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p98	(-966796875/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p106	(-3867187500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p113	(-12568359375/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p119	(-35191406250/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p124	(-87978515625/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p128	(-201093750000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 8)	p131	(9828457031250/1)*S^0|0|0
