branch,lane,phase,power,dimension,jet0_gauge,residual_rows,rational_point_status,record_source
delta52,complete-minor,outer_strict,28,760,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,29,759,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,30,757,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,31,756,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,32,754,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,33,753,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,34,751,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,35,750,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,36,748,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,37,746,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,38,744,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,39,742,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,40,740,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,41,738,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,42,734,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,43,732,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,44,727,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,45,725,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,46,720,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,47,718,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,48,713,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,49,711,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,50,706,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,51,703,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,52,698,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,53,693,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,54,688,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,55,683,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,56,678,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,57,673,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,58,667,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,59,662,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,60,656,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,61,654,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,62,650,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,63,648,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,64,644,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,65,642,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,66,638,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,67,636,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,68,632,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,69,630,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,70,626,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,71,624,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,72,620,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,73,616,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,74,612,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,75,608,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,76,604,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,77,600,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,78,596,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,79,592,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,80,588,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,81,584,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,82,578,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,83,574,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,84,568,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,85,564,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,86,558,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,87,554,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,88,548,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,89,544,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,90,538,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,91,532,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,92,526,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,93,520,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,94,514,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,95,508,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,96,502,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,97,496,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,98,490,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,99,484,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,100,478,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,101,472,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,102,464,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,103,458,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,104,450,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,105,444,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,106,436,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,107,430,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,108,421,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,109,415,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,110,406,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,111,398,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,112,389,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,113,381,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,114,372,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,115,364,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,116,355,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,117,347,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,118,338,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,119,329,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,120,318,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,121,309,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,122,298,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,123,289,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,124,288,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,125,287,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,126,286,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,127,285,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,128,283,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,129,282,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,130,280,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,131,279,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,132,277,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,133,276,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,134,274,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,135,273,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,136,271,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,137,269,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,138,267,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,139,265,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,140,263,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,141,261,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,142,259,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,143,257,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,144,255,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,145,253,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,146,251,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,147,249,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,148,246,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,149,244,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,150,241,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,151,239,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,152,236,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,153,234,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,154,231,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,155,229,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,156,226,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,157,223,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,158,220,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,159,217,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,160,214,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,161,211,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,162,208,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,163,205,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,164,202,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,165,199,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,166,196,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,167,193,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,168,189,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,169,186,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
delta52,complete-minor,outer_strict,170,182,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta52_minor_block.json
