X_power	W_power	literal_terms	semantic_degree	sha256
2	13	1173	4	3e0a61daa665165f5f0e1dc727fe30644e1050fbbfe9841cd97b68f536ff0e26
3	12	950	4	3308855311cebe6a1d5fc50521add6262f2440c6eaa6805e10246b413024534e
4	11	497	4	118b757b676d91a5386b3b8337c8ef44e8304e3c1fe6d6ea9d8c589953c4cb0b
5	10	94	4	61094ff2b36188877d5d955b5f3a578c926156f102b76b7497df55be0234b344
0	16	828	4	0d2cb190d8267ab0cfcf4d843a5e8d82444deb7df2496202b46c4098fddb84c2
1	15	1212	4	c1f9f1d46c9c6efd30a15ef392594f89cae4e9c1136c8d8cf25c101a308d4ed7
2	14	1300	4	a10e502eae5634fb2bdd871e1ba15b77190910b70911379a4ca40e350054562e
3	13	1134	4	2f96f38cc531b470b70859d71c91263c2007a3839df83893e4ea40f39aa8eb93
4	12	696	4	5226954013031191adcc0db3eba0e3a47681cf7ebb457c72cd9218dacbdeff0d
5	11	137	4	31b0ebabaf46ab39000be6347b2e3742b062d04ae051d240b675718a69b94066
0	17	918	4	50e3caf9ea6061b78edf8619f800a1f5f0aebe68bb4f651eea8c2fe87ced8a80
1	16	1398	4	6696036272a41217eac3b3e7fbce5d778970c9958a2f171282961bac2c9132fe
2	15	1578	4	0eafdf98afa19662a333a2c766fed72c6bfbd6cc370344be6cbb3d122e5a34d4
3	14	1408	4	3fc2bdda6b5cbbb17d97ee36cee5e07b4c4b6dfc6eb2ba10390d412c4109c4b8
4	13	926	4	459e9cd6fcb0edb2c5df563089acf8b9f35c1fcbd73b9bf9cccbd0ada40bf68b
5	12	339	4	2034c856fd240cfffb841d076101436dd589c84c901684a787e1cb32462c2eff
6	11	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	18	1011	4	06d160c3b92698a73a083a83c171a703b7cb38c00e3c4b1aac9871ee9e9fba6e
1	17	1527	4	f6f7724619eff2c6ea5ee1e5b4df1b3fc85d698d6e2d6b244a0447b94ae12244
2	16	1801	4	61bfa7aff81defcbd1f94448d5173c303b73fa7e9c6996c47e289e4b1fe4180b
3	15	1558	4	c2f45ad5d10b98225a651ddd0ade1e3998ff7a5f5b135ba32e4adb83aea2bd9e
4	14	1048	4	f97ae6978e9a801054195dbbfbdda30bbc7bc5bde8d04829f7afaf528601f9a6
5	13	496	4	090896a4e8413cb301ba547c4f80cdc7f3db24f6f2d60149044a8d1601e105ac
6	12	51	3	72740af899b006dca8f6b21ddbbff4d9da8b69e0b0ad9fe6ebef1569d0c84503
0	19	1110	4	384583fea5b37c02dbf126313cc78344c8cea98e69fd59de89886342d616cfac
1	18	1734	4	f3e9606654b0576f0b074b53e32c273d9785bf4a615bf176835c6406648cfdff
2	17	1965	4	5a254c3817e35418f3d4e5fe569eeb6fdc1ea777ad2361eb0de50d5bd72014d5
3	16	1956	4	9bbdfe525f985db35d566f64b7107084890d5e3cdb76f0ba69bbebb285572055
4	15	1472	4	45193533edfa19533fe2437c79b18752783f6d1912e01ad448a502e1ce4585fc
5	14	692	4	2fafd82200827295a52f4042e494e2fceef7a1321251efde4d47b44e6d2a62b8
6	13	109	4	90b798e4ac133e5e8a8a1ab9a2af4dbbf86143839f20ee8303cdfbea4d5993cd
0	20	1212	4	c1f9f1d46c9c6efd30a15ef392594f89cae4e9c1136c8d8cf25c101a308d4ed7
1	19	1878	4	b9b804b8d1f3e4a8bcc6b28c4a196c2483bf4b97d08f07fc8efe809da8b91d0e
