X_power	W_power	literal_terms	semantic_degree	sha256
2	13	1	0	7bc14f6ebaff0dbc3806359438845a4b8e060caa0e5c5e5dd6e2463597a995ea
3	12	1	0	c17afaecd283d26eef05bbd2c62a7166052d09681d97d237817890a42a74fcdc
4	11	1	0	08f8261bec12ad0323d66ba5481da9a88ac0c7c706975c796ac4c60f3b0de756
5	10	1	0	ef4a099311fe88ca360b43b2dec31b464d9080fcda4b71efba556bc9b804e569
0	16	1	0	9e38dd022e672fd0456c0b65951f9524e52e89ce4e7def303ea4dfcc9475efdc
1	15	1	0	cbec736a4937c026fa16255b3e4551db1d1f5a646464d1357b60aae57b73199f
2	14	1	0	b264f38e92c0832bbecd3cb4b4ec7704f93f4c3c7a9c13a4f8d82d173d8f34a4
3	13	1	0	7e646e01ee794d5f03e587897079279ee2b5d1031269d397a7205dbc8ecf3afd
4	12	1	0	e1aac29bf46c997b765fa59e123cd8899b39e877f9a688a9200c1fcb4aec51d4
5	11	1	0	78de38e3876dfc18419456eee2d67907544e2cd3d69a3632d8c6bf8b41553b0b
0	17	1	0	65d513fe1ad0d6b612fb8b6f66c26b2d5f49fc02d61a66232dda4c3e975bc9fb
1	16	1	0	e125c7466048c0a335745a86b240a546611ce9c920eeec234a2bb2bc9a6b2cbd
2	15	1	0	a08c17ba065b10f9c2efaea55aaa711bbe24d8d3f2c391756cf45242687275ae
3	14	1	0	e69da2192049762c549c25df7bd50928f3c1ba507e82ede8bd7758b83a8ca550
4	13	1	0	a294491827404ed4dafe0ace52cae023884c34347c44a3af53a21eae1f3dfce8
5	12	1	0	6e86962d936051619ef216a36af85e5597fb3d60476c56f05de225544cdfa433
6	11	1	0	1cc5614c8be434ee95b5a22c303b8ec128933b715b8c420ac873776fd07c613c
0	18	1	0	518a2becc963f55aef6c78501f8ed3c74d1fc230af4ea94828a4eade62eababf
1	17	1	0	6453c8a4b4d0a5742aca0a5cdf48d9e9d0a515f363d571106c5fa57fd21f0c56
2	16	1	0	c04eea914579280bb87c248e5dde3f991ee8d3c6f7a4bd81308bb39ad6910a9e
3	15	1	0	a4974dd007988ca2e931edc88281e109d570cb7738f6e8456e92d822390eda21
4	14	1	0	97fea30ff59ba65e2a43823efc562ff6def25ab793ddd9cd0e7ec89c1b7ae478
5	13	1	0	ab16fd3c9248842b0bc0db06e7126b16d0307e9f021a320410f37f44e6e23185
6	12	1	0	a0072866758cd709025c112cee72a0d41f1dcda9bec6ab9324609e5c3a74b6e1
0	19	1	0	d613940ff9a3775cf2b87a22cee1e1ea28e733ae6b36851956aed4d29d6465d7
1	18	1	0	57a6ad85d152b320997913e5b2838e77167e30cb606cd39c000e47a78abfb989
2	17	1	0	c6d1cc3878c8b9650ec13aabb1b7fca99665f59cd6c1fb4d7ec5bd6159735133
3	16	1	0	5bec43c0e2a7363c08ab43d2269f550d79db199dcac15c8b7f8ece9fcc40fe4b
4	15	1	0	b065a796e86bac2543d2a89a203f6b4d28439135efe8c7c65bff670cc596afdb
5	14	1	0	8a35ea6906dba315603f23b83508e2007b93400cf81f9da7322607e72d23f419
6	13	1	0	99c95599b9b8c247da4147a4fd8168280169678e425d1e54a2ad115836c2743a
0	20	1	0	b916f0a0db8880ad6990d81c14a2c0c61cad455b02643f94371b7868108e2d24
1	19	1	0	13b537534cfc2bb9c80bfc60c680099d559a8d4a235d9899ab2a57a079ea7939
2	18	1	0	24e9c5b5a098b8c073c9a9c065000c1665ac5e6098e887fa3cb35932d1a33cb5
3	17	1	0	26bec838b74db2c7c83b2eeb12cf6344e52ea64ac478725f9b49ac4712345750
4	16	1	0	3a8be72f36db474f18319ad2211105494263a77b0e7d3b14eb2f07a9e4b418ee
5	15	1	0	1f6f6246979aafa43e6307abc8a26335e70c63aedaaf1640641cd3cd1f477993
6	14	1	0	e2e800e16278eeae3a014a8c7a64111c3346c92532f2be78e56b0d45f0157c70
