ROW|0|0|1|0
ROW|1|1|1|0
ROW|2|2|1|0
ROW|3|2|2|0
ROW|4|3|2|0
ROW|5|3|3|0
ROW|6|3|4|0
ROW|7|3|4|0
ROW|8|3|5|0
ROW|9|3|5|0
ROW|10|3|5|0
ROW|11|3|5|0
ROW|12|3|5|0
ROW|13|3|5|0
ROW|14|3|5|0
ROW|15|3|5|0
ROW|16|3|6|0
ROW|17|3|7|0
ROW|18|4|7|0
ROW|19|5|7|0
ROW|20|5|8|0
ROW|21|5|8|0
ROW|22|5|8|0
ROW|23|5|8|0
ROW|24|5|8|0
ROW|25|5|8|0
ROW|26|5|8|0
ROW|27|6|8|0
ROW|28|6|9|0
ROW|29|6|10|0
ROW|30|7|10|0
ROW|31|7|11|0
ROW|32|7|12|0
ROW|33|7|13|0
ROW|34|8|13|0
ROW|35|8|14|0
ROW|36|8|15|0
ROW|37|8|16|0
ROW|38|8|17|0
ROW|39|8|18|0
ROW|40|8|19|0
ROW|41|8|20|0
ROW|42|9|20|0
ROW|43|9|21|0
ROW|44|9|22|0
ROW|45|10|22|0
ROW|46|10|23|0
ROW|47|10|24|0
ROW|48|10|25|0
ROW|49|11|25|0
ROW|50|11|26|0
ROW|51|12|26|0
ROW|52|12|27|0
ROW|53|12|28|0
ROW|54|13|28|0
ROW|55|13|29|0
ROW|56|13|30|0
ROW|57|13|31|0
ROW|58|13|32|0
ROW|59|14|32|0
ROW|60|14|33|0
ROW|61|15|33|0
ROW|62|15|34|0
ROW|63|15|35|0
ROW|64|15|36|0
ROW|65|16|36|0
ROW|66|16|37|0
ROW|67|16|38|0
ROW|68|16|39|0
ROW|69|16|40|0
ROW|70|16|41|0
ROW|71|17|41|0
ROW|72|18|41|0
ROW|73|18|42|0
ROW|74|18|43|0
ROW|75|18|44|0
ROW|76|18|45|0
ROW|77|18|46|0
ROW|78|18|47|0
ROW|79|19|47|0
ROW|80|19|48|0
ROW|81|20|48|0
ROW|82|21|48|1
ROW|83|21|49|1
ROW|84|22|49|1
ROW|85|23|49|2
ROW|86|23|50|2
ROW|87|24|50|4
ROW|88|24|51|4
ROW|89|24|52|4
ROW|90|24|53|4
ROW|91|24|54|4
ROW|92|25|54|5
ROW|93|26|54|7
ROW|94|26|55|7
ROW|95|26|56|7
ROW|96|27|56|9
ROW|97|27|57|9
ROW|98|27|58|9
ROW|99|28|58|11
ROW|100|28|59|11
ROW|101|28|60|11
ROW|102|28|61|11
ROW|103|29|61|14
ROW|104|30|61|16
ROW|105|30|62|16
ROW|106|31|62|19
ROW|107|31|63|19
ROW|108|31|64|19
ROW|109|31|65|19
ROW|110|32|65|24
ROW|111|32|66|24
ROW|112|32|67|24
ROW|113|32|68|24
ROW|114|32|69|24

halt 1
