D	m	M_2..M_s	s	d_s	u_s	v_s	g	resonant_j	V	row_key	Im_min_candidate	IM_max	principal_minor_floor_candidate
192	128	-32,144,184,190	5	8	2	6	2	4	2:2,3:1,4:7,5:6	(192, 128, (-32, 144, 184, 190), ((2, 2), (3, 1), (4, 7), (5, 6)))	7	66/5	2
192	128	-32,144,184,190	5	8	2	6	2	4	2:2,3:8,4:7,5:6	(192, 128, (-32, 144, 184, 190), ((2, 2), (3, 8), (4, 7), (5, 6)))	7	66/5	2
192	128	32,144,168,190	5	8	2	6	2	4	2:1,3:24,4:12,5:6	(192, 128, (32, 144, 168, 190), ((2, 1), (3, 24), (4, 12), (5, 6)))	3	4356/119	2
192	128	32,144,168,190	5	8	2	6	2	4	2:5,3:24,4:12,5:6	(192, 128, (32, 144, 168, 190), ((2, 5), (3, 24), (4, 12), (5, 6)))	3	4356/119	2
192	128	32,144,184,190	5	8	2	6	2	4	2:1,3:1,4:12,5:6	(192, 128, (32, 144, 184, 190), ((2, 1), (3, 1), (4, 12), (5, 6)))	3	486/35	2
192	128	32,144,184,190	5	8	2	6	2	4	2:1,3:3,4:12,5:6	(192, 128, (32, 144, 184, 190), ((2, 1), (3, 3), (4, 12), (5, 6)))	3	864/35	2
192	128	32,168,190	4	8	2	6	2	4	2:1,3:7,4:6	(192, 128, (32, 168, 190), ((2, 1), (3, 7), (4, 6)))	7	126/17	2
192	128	96,144,184,190	5	8	2	6	2	4	2:1,3:1,4:12,5:6	(192, 128, (96, 144, 184, 190), ((2, 1), (3, 1), (4, 12), (5, 6)))	3	54/5	2
192	128	96,144,184,190	5	8	2	6	2	4	2:3,3:3,4:12,5:6	(192, 128, (96, 144, 184, 190), ((2, 3), (3, 3), (4, 12), (5, 6)))	3	144/5	2
192	128	144,184,190	4	8	2	6	2	4	2:7,3:7,4:6	(192, 128, (144, 184, 190), ((2, 7), (3, 7), (4, 6)))	7	84/5	2
192	128	160,176,184,190	5	8	2	6	2	4	2:11,3:11,4:7,5:6	(192, 128, (160, 176, 184, 190), ((2, 11), (3, 11), (4, 7), (5, 6)))	9	66/5	2
192	144	-120,-12,18,190	5	6	2	4	2	3	2:1,3:16,4:8,5:4	(192, 144, (-120, -12, 18, 190), ((2, 1), (3, 16), (4, 8), (5, 4)))	2	28483/1035	1
192	144	-120,-12,18,190	5	6	2	4	2	3	2:3,3:16,4:8,5:4	(192, 144, (-120, -12, 18, 190), ((2, 3), (3, 16), (4, 8), (5, 4)))	2	85456/3105	1
192	144	-120,-12,18,190	5	6	2	4	2	3	2:7,3:16,4:8,5:4	(192, 144, (-120, -12, 18, 190), ((2, 7), (3, 16), (4, 8), (5, 4)))	2	28483/1035	1
192	144	-120,-12,18,190	5	6	2	4	2	3	2:13,3:16,4:8,5:4	(192, 144, (-120, -12, 18, 190), ((2, 13), (3, 16), (4, 8), (5, 4)))	2	85456/3105	1
192	144	-120,-12,18,190	5	6	2	4	2	3	2:23,3:16,4:8,5:4	(192, 144, (-120, -12, 18, 190), ((2, 23), (3, 16), (4, 8), (5, 4)))	2	633/23	1
192	144	-72,-12,42,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (-72, -12, 42, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	128/5	1
192	144	-72,-12,150,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (-72, -12, 150, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	128/5	1
192	144	-72,12,78,190	5	6	2	4	2	3	2:1,3:16,4:8,5:4	(192, 144, (-72, 12, 78, 190), ((2, 1), (3, 16), (4, 8), (5, 4)))	2	14444/525	1
192	144	-72,12,78,190	5	6	2	4	2	3	2:4,3:16,4:8,5:4	(192, 144, (-72, 12, 78, 190), ((2, 4), (3, 16), (4, 8), (5, 4)))	2	244928/8925	1
192	144	-72,12,78,190	5	6	2	4	2	3	2:5,3:16,4:8,5:4	(192, 144, (-72, 12, 78, 190), ((2, 5), (3, 16), (4, 8), (5, 4)))	2	2336/85	1
