source_index|h_power|x_power|y_power|expr
22|0|1|3|-6*h_1_4*h_1_2*h_0_0*bp^2+12*h_2_6*h_0_0^2*bp^2-3*h_1_4*h_1_3*bp^3-3*h_1_5*h_1_2*bp^3+6*h_2_6*h_0_1*bp^3+6*h_2_7*h_0_0*bp^3-6*h_2_5*bp^2*bq-6*h_1_3*a2*bq^2+6*h_1_4*h_0_1*bp*br-36*h_1_5*h_0_0*bp*br+12*h_1_6*bp^2*br-12*h_2_5*h_0_0*bp*bs-12*h_1_3*bq^2-54*h_1_3*bq*br+24*h_0_4*br^2+24*h_1_4*br*bs
23|0|1|2|-6*h_1_3*h_1_2*h_0_0*bp^2+12*h_2_5*h_0_0^2*bp^2-3*h_1_3^2*bp^3-3*h_1_4*h_1_2*bp^3+6*h_2_5*h_0_1*bp^3+6*h_2_6*h_0_0*bp^3-6*h_1_2*a2*bq^2+6*h_1_3*h_0_1*bp*br-30*h_1_4*h_0_0*bp*br+9*h_1_5*bp^2*br-12*h_1_2*bq^2-60*h_1_2*bq*br+18*h_0_3*br^2+18*h_1_3*br*bs
24|0|1|1|-6*h_1_2^2*h_0_0*bp^2-6*h_1_3*h_1_2*bp^3+6*h_2_5*h_0_0*bp^3+6*h_1_2*h_0_1*bp*br-24*h_1_3*h_0_0*bp*br+6*h_1_4*bp^2*br+12*h_0_2*br^2+12*h_1_2*br*bs
25|0|1|0|-3*h_1_2^2*bp^3-18*h_1_2*h_0_0*bp*br+3*h_1_3*bp^2*br+6*h_0_1*br^2-c
26|0|0|10|-6*h_1_2*h_0_0*bp^2-3*h_1_3*bp^3-6*h_0_10*a2*bq^2-12*h_0_10*bq^2-6*h_1_9*bq^2+6*h_0_1*bp*br-6*h_0_10*bq*br+6*a2*bq*bs+12*bq*bs+66*br*bs
27|0|0|9|-6*h_0_10*h_1_2*h_0_0*bp^2-3*h_0_10*h_1_3*bp^3-3*h_1_2*bp^3-6*h_0_9*a2*bq^2+6*h_0_10*h_0_1*bp*br-12*h_0_9*bq^2-6*h_1_8*bq^2-66*h_0_0*bp*br-12*h_0_9*bq*br-6*h_1_9*bq*bs+60*h_0_10*br*bs
28|0|0|8|-6*h_0_9*h_1_2*h_0_0*bp^2-3*h_0_9*h_1_3*bp^3-3*h_0_10*h_1_2*bp^3+3*a2*bp^2*bq-6*h_0_8*a2*bq^2+6*h_0_9*h_0_1*bp*br-60*h_0_10*h_0_0*bp*br+6*h_0_0*a2*bp*bs+6*bp^2*bq-12*h_0_8*bq^2-6*h_1_7*bq^2+27*bp^2*br-18*h_0_8*bq*br+12*h_0_0*bp*bs-6*h_1_8*bq*bs+54*h_0_9*br*bs
29|0|0|7|-6*h_0_8*h_1_2*h_0_0*bp^2-6*h_0_0^2*a2*bp^2-3*h_0_8*h_1_3*bp^3-3*h_0_9*h_1_2*bp^3-3*h_0_1*a2*bp^3-12*h_0_0^2*bp^2-6*h_0_1*bp^3-3*h_1_9*bp^2*bq-6*h_0_7*a2*bq^2+6*h_0_8*h_0_1*bp*br-54*h_0_9*h_0_0*bp*br+24*h_0_10*bp^2*br-6*h_1_9*h_0_0*bp*bs-12*h_0_7*bq^2-6*h_1_6*bq^2-24*h_0_7*bq*br-6*h_1_7*bq*bs+48*h_0_8*br*bs
30|0|0|6|-6*h_0_7*h_1_2*h_0_0*bp^2+6*h_1_9*h_0_0^2*bp^2-3*h_0_7*h_1_3*bp^3-3*h_0_8*h_1_2*bp^3+3*h_1_9*h_0_1*bp^3-3*h_0_0*a2*bp^3-6*h_0_0*bp^3-3*h_1_8*bp^2*bq-6*h_0_6*a2*bq^2+6*h_0_7*h_0_1*bp*br-48*h_0_8*h_0_0*bp*br+21*h_0_9*bp^2*br-6*h_1_8*h_0_0*bp*bs-12*h_0_6*bq^2-6*h_1_5*bq^2-30*h_0_6*bq*br-6*h_1_6*bq*bs+42*h_0_7*br*bs
31|0|0|5|-6*h_0_6*h_1_2*h_0_0*bp^2+6*h_1_8*h_0_0^2*bp^2-3*h_0_6*h_1_3*bp^3-3*h_0_7*h_1_2*bp^3+3*h_1_8*h_0_1*bp^3+3*h_1_9*h_0_0*bp^3-3*h_1_7*bp^2*bq-6*h_0_5*a2*bq^2+6*h_0_6*h_0_1*bp*br-42*h_0_7*h_0_0*bp*br+18*h_0_8*bp^2*br-6*h_1_7*h_0_0*bp*bs-12*h_0_5*bq^2-6*h_1_4*bq^2-36*h_0_5*bq*br-6*h_1_5*bq*bs+36*h_0_6*br*bs
