denominator	multiplicity	first_label	factorization
1	3655432	current_13_weight	[]
x	1155	current_13_first_multipliers	[('x', 1)]
x^2	518	current_13_first_multipliers	[('x', 2)]
x^3	154	current_13_first_multipliers	[('x', 3)]
x^4	44	current_13_first_multipliers	[('x', 4)]
x^5	8	current_13_first_multipliers	[('x', 5)]
x^6	1	transport_chart_clear	[('x', 6)]
