source_index|h_power|x_power|y_power|expr
46|0|0|3|-A3_0_3-auxP2_0_0*h_0_3-auxP2_0_1*h_0_2-auxP2_0_2*h_0_1-auxP2_0_3*h_0_0+auxP3_0_3
47|0|0|4|-A3_0_4-auxP2_0_0*h_0_4-auxP2_0_1*h_0_3-auxP2_0_2*h_0_2-auxP2_0_3*h_0_1-auxP2_0_4*h_0_0+auxP3_0_4
48|0|0|5|-A3_0_5-auxP2_0_0*h_0_5-auxP2_0_1*h_0_4-auxP2_0_2*h_0_3-auxP2_0_3*h_0_2-auxP2_0_4*h_0_1-auxP2_0_5*h_0_0+auxP3_0_5
49|0|0|6|-A3_0_6-auxP2_0_0*h_0_6-auxP2_0_1*h_0_5-auxP2_0_2*h_0_4-auxP2_0_3*h_0_3-auxP2_0_4*h_0_2-auxP2_0_5*h_0_1-auxP2_0_6*h_0_0+auxP3_0_6
50|0|0|7|-A3_0_7-auxP2_0_0*h_0_7-auxP2_0_1*h_0_6-auxP2_0_2*h_0_5-auxP2_0_3*h_0_4-auxP2_0_4*h_0_3-auxP2_0_5*h_0_2-auxP2_0_6*h_0_1-auxP2_0_7*h_0_0+auxP3_0_7
51|0|0|8|-auxP2_0_0-auxP2_0_1*h_0_7-auxP2_0_2*h_0_6-auxP2_0_3*h_0_5-auxP2_0_4*h_0_4-auxP2_0_5*h_0_3-auxP2_0_6*h_0_2-auxP2_0_7*h_0_1-auxP2_0_8*h_0_0+auxP3_0_8
52|0|0|9|-auxP2_0_1-auxP2_0_2*h_0_7-auxP2_0_3*h_0_6-auxP2_0_4*h_0_5-auxP2_0_5*h_0_4-auxP2_0_6*h_0_3-auxP2_0_7*h_0_2-auxP2_0_8*h_0_1-auxP2_0_9*h_0_0+auxP3_0_9
53|0|0|10|-auxP2_0_10*h_0_0-auxP2_0_2-auxP2_0_3*h_0_7-auxP2_0_4*h_0_6-auxP2_0_5*h_0_5-auxP2_0_6*h_0_4-auxP2_0_7*h_0_3-auxP2_0_8*h_0_2-auxP2_0_9*h_0_1+auxP3_0_10
54|0|0|11|-auxP2_0_10*h_0_1-auxP2_0_11*h_0_0-auxP2_0_3-auxP2_0_4*h_0_7-auxP2_0_5*h_0_6-auxP2_0_6*h_0_5-auxP2_0_7*h_0_4-auxP2_0_8*h_0_3-auxP2_0_9*h_0_2+auxP3_0_11
55|0|0|12|-auxP2_0_10*h_0_2-auxP2_0_11*h_0_1-auxP2_0_12*h_0_0-auxP2_0_4-auxP2_0_5*h_0_7-auxP2_0_6*h_0_6-auxP2_0_7*h_0_5-auxP2_0_8*h_0_4-auxP2_0_9*h_0_3+auxP3_0_12
56|0|0|13|-auxP2_0_10*h_0_3-auxP2_0_11*h_0_2-auxP2_0_12*h_0_1-auxP2_0_13*h_0_0-auxP2_0_5-auxP2_0_6*h_0_7-auxP2_0_7*h_0_6-auxP2_0_8*h_0_5-auxP2_0_9*h_0_4+auxP3_0_13
57|0|0|14|-auxP2_0_10*h_0_4-auxP2_0_11*h_0_3-auxP2_0_12*h_0_2-auxP2_0_13*h_0_1-auxP2_0_14*h_0_0-auxP2_0_6-auxP2_0_7*h_0_7-auxP2_0_8*h_0_6-auxP2_0_9*h_0_5+auxP3_0_14
58|0|0|15|-auxP2_0_10*h_0_5-auxP2_0_11*h_0_4-auxP2_0_12*h_0_3-auxP2_0_13*h_0_2-auxP2_0_14*h_0_1-auxP2_0_15*h_0_0-auxP2_0_7-auxP2_0_8*h_0_7-auxP2_0_9*h_0_6+auxP3_0_15
59|0|0|16|-auxP2_0_10*h_0_6-auxP2_0_11*h_0_5-auxP2_0_12*h_0_4-auxP2_0_13*h_0_3-auxP2_0_14*h_0_2-auxP2_0_15*h_0_1-auxP2_0_8-auxP2_0_9*h_0_7+auxP3_0_16-h_0_0
60|0|0|17|-auxP2_0_10*h_0_7-auxP2_0_11*h_0_6-auxP2_0_12*h_0_5-auxP2_0_13*h_0_4-auxP2_0_14*h_0_3-auxP2_0_15*h_0_2-auxP2_0_9+auxP3_0_17-h_0_1
61|0|0|18|-auxP2_0_10-auxP2_0_11*h_0_7-auxP2_0_12*h_0_6-auxP2_0_13*h_0_5-auxP2_0_14*h_0_4-auxP2_0_15*h_0_3+auxP3_0_18-h_0_2
62|0|0|19|-auxP2_0_11-auxP2_0_12*h_0_7-auxP2_0_13*h_0_6-auxP2_0_14*h_0_5-auxP2_0_15*h_0_4+auxP3_0_19-h_0_3
63|0|0|20|-auxP2_0_12-auxP2_0_13*h_0_7-auxP2_0_14*h_0_6-auxP2_0_15*h_0_5+auxP3_0_20-h_0_4
64|0|0|21|-auxP2_0_13-auxP2_0_14*h_0_7-auxP2_0_15*h_0_6+auxP3_0_21-h_0_5
65|0|0|22|-auxP2_0_14-auxP2_0_15*h_0_7+auxP3_0_22-h_0_6
66|0|0|23|-auxP2_0_15+auxP3_0_23-h_0_7
67|0|1|0|-A2_1_0*h_0_0-A3_1_0+auxP3_1_0
68|0|1|1|-A2_1_0*h_0_1-A2_1_1*h_0_0-A3_1_1+auxP3_1_1
69|0|1|2|-A2_1_0*h_0_2-A2_1_1*h_0_1-A2_1_2*h_0_0-A3_1_2+auxP3_1_2
70|0|1|3|-A2_1_0*h_0_3-A2_1_1*h_0_2-A2_1_2*h_0_1-A2_1_3*h_0_0-A3_1_3+auxP3_1_3
71|0|1|4|-A2_1_0*h_0_4-A2_1_1*h_0_3-A2_1_2*h_0_2-A2_1_3*h_0_1-A2_1_4*h_0_0-A3_1_4+auxP3_1_4
72|0|1|5|-A2_1_0*h_0_5-A2_1_1*h_0_4-A2_1_2*h_0_3-A2_1_3*h_0_2-A2_1_4*h_0_1-A3_1_5-auxP2_0_0*h_1_5-auxP2_1_5*h_0_0+auxP3_1_5
73|0|1|6|-A2_1_0*h_0_6-A2_1_1*h_0_5-A2_1_2*h_0_4-A2_1_3*h_0_3-A2_1_4*h_0_2-A3_1_6-auxP2_0_0*h_1_6-auxP2_0_1*h_1_5-auxP2_1_5*h_0_1-auxP2_1_6*h_0_0+auxP3_1_6
74|0|1|7|-A2_1_0*h_0_7-A2_1_1*h_0_6-A2_1_2*h_0_5-A2_1_3*h_0_4-A2_1_4*h_0_3-A3_1_7-auxP2_0_0*h_1_7-auxP2_0_1*h_1_6-auxP2_0_2*h_1_5-auxP2_1_5*h_0_2-auxP2_1_6*h_0_1-auxP2_1_7*h_0_0+auxP3_1_7
75|0|1|8|-A2_1_0-A2_1_1*h_0_7-A2_1_2*h_0_6-A2_1_3*h_0_5-A2_1_4*h_0_4-auxP2_0_1*h_1_7-auxP2_0_2*h_1_6-auxP2_0_3*h_1_5-auxP2_1_5*h_0_3-auxP2_1_6*h_0_2-auxP2_1_7*h_0_1-auxP2_1_8*h_0_0+auxP3_1_8
76|0|1|9|-A2_1_1-A2_1_2*h_0_7-A2_1_3*h_0_6-A2_1_4*h_0_5-auxP2_0_2*h_1_7-auxP2_0_3*h_1_6-auxP2_0_4*h_1_5-auxP2_1_5*h_0_4-auxP2_1_6*h_0_3-auxP2_1_7*h_0_2-auxP2_1_8*h_0_1-auxP2_1_9*h_0_0+auxP3_1_9
77|0|1|10|-A2_1_2-A2_1_3*h_0_7-A2_1_4*h_0_6-auxP2_0_3*h_1_7-auxP2_0_4*h_1_6-auxP2_0_5*h_1_5-auxP2_1_10*h_0_0-auxP2_1_5*h_0_5-auxP2_1_6*h_0_4-auxP2_1_7*h_0_3-auxP2_1_8*h_0_2-auxP2_1_9*h_0_1+auxP3_1_10
78|0|1|11|-A2_1_3-A2_1_4*h_0_7-auxP2_0_4*h_1_7-auxP2_0_5*h_1_6-auxP2_0_6*h_1_5-auxP2_1_10*h_0_1-auxP2_1_11*h_0_0-auxP2_1_5*h_0_6-auxP2_1_6*h_0_5-auxP2_1_7*h_0_4-auxP2_1_8*h_0_3-auxP2_1_9*h_0_2+auxP3_1_11
79|0|1|12|-A2_1_4-auxP2_0_5*h_1_7-auxP2_0_6*h_1_6-auxP2_0_7*h_1_5-auxP2_1_10*h_0_2-auxP2_1_11*h_0_1-auxP2_1_12*h_0_0-auxP2_1_5*h_0_7-auxP2_1_6*h_0_6-auxP2_1_7*h_0_5-auxP2_1_8*h_0_4-auxP2_1_9*h_0_3+auxP3_1_12
80|0|1|13|-auxP2_0_6*h_1_7-auxP2_0_7*h_1_6-auxP2_0_8*h_1_5-auxP2_1_10*h_0_3-auxP2_1_11*h_0_2-auxP2_1_12*h_0_1-auxP2_1_13*h_0_0-auxP2_1_5-auxP2_1_6*h_0_7-auxP2_1_7*h_0_6-auxP2_1_8*h_0_5-auxP2_1_9*h_0_4+auxP3_1_13
81|0|1|14|-auxP2_0_7*h_1_7-auxP2_0_8*h_1_6-auxP2_0_9*h_1_5-auxP2_1_10*h_0_4-auxP2_1_11*h_0_3-auxP2_1_12*h_0_2-auxP2_1_13*h_0_1-auxP2_1_14*h_0_0-auxP2_1_6-auxP2_1_7*h_0_7-auxP2_1_8*h_0_6-auxP2_1_9*h_0_5+auxP3_1_14
82|0|1|15|-auxP2_0_10*h_1_5-auxP2_0_8*h_1_7-auxP2_0_9*h_1_6-auxP2_1_10*h_0_5-auxP2_1_11*h_0_4-auxP2_1_12*h_0_3-auxP2_1_13*h_0_2-auxP2_1_14*h_0_1-auxP2_1_15*h_0_0-auxP2_1_7-auxP2_1_8*h_0_7-auxP2_1_9*h_0_6+auxP3_1_15
83|0|1|16|-auxP2_0_10*h_1_6-auxP2_0_11*h_1_5-auxP2_0_9*h_1_7-auxP2_1_10*h_0_6-auxP2_1_11*h_0_5-auxP2_1_12*h_0_4-auxP2_1_13*h_0_3-auxP2_1_14*h_0_2-auxP2_1_15*h_0_1-auxP2_1_8-auxP2_1_9*h_0_7+auxP3_1_16
