    PID    PPID   RSS     ELAPSED COMMAND
   3113       1 47500    01:08:56 fwupd
   1275       1 40992    01:14:47 snapd
    691       1 27296    01:15:10 multipathd
   1344       1 22900    01:14:46 unattended-upgr
   1273       1 22272    01:14:47 amazon-ssm-agen
   1269       1 20812    01:14:47 networkd-dispat
    630       1 17952    01:15:11 systemd-journal
   1280       1 13992    01:14:47 udisksd
      1       0 13612    01:15:20 systemd
   1384       1 13000    01:14:46 ModemManager
   1091       1 12892    01:14:56 systemd-resolve
   1356       1 11380    01:14:46 systemd
  13236    1798 10664       00:00 sshd
   1202       1 10164    01:14:50 systemd-network
   1270       1 10132    01:14:47 polkitd
    686       1  9928    01:15:10 systemd-udevd
   1277       1  9152    01:14:47 systemd-logind
   1798       1  8280    01:12:45 sshd
  13284   13236  7308       00:00 sshd
   1331       1  7068    01:14:47 rsyslogd
   1262       1  5728    01:14:47 dbus-daemon
   1267       1  4908    01:14:47 irqbalance
  13285   13284  4384       00:00 ps
   1358       1  3936    01:14:46 chronyd
   1449    1356  3676    01:14:46 (sd-pam)
   1261       1  2884    01:14:47 cron
   1389    1358  2440    01:14:46 chronyd
   1288       1  2220    01:14:47 agetty
   1299       1  2108    01:14:47 agetty
   1257       1  2080    01:14:47 acpid
      2       0     0    01:15:20 kthreadd
      3       2     0    01:15:20 pool_workqueue_release
      4       2     0    01:15:20 kworker/R-rcu_gp
      5       2     0    01:15:20 kworker/R-sync_wq
      6       2     0    01:15:20 kworker/R-kvfree_rcu_reclaim
      7       2     0    01:15:20 kworker/R-slub_flushwq
      8       2     0    01:15:20 kworker/R-netns
     10       2     0    01:15:20 kworker/0:0H-kblockd
     11       2     0    01:15:20 kworker/0:1-events
     13       2     0    01:15:20 kworker/R-mm_percpu_wq
     14       2     0    01:15:20 ksoftirqd/0
     15       2     0    01:15:20 rcu_sched
     16       2     0    01:15:20 rcu_exp_par_gp_kthread_worker/1
     17       2     0    01:15:20 rcu_exp_gp_kthread_worker
     18       2     0    01:15:20 migration/0
     19       2     0    01:15:20 kprobe-optimizer
     20       2     0    01:15:20 idle_inject/0
     21       2     0    01:15:20 cpuhp/0
     22       2     0    01:15:20 cpuhp/1
     23       2     0    01:15:20 idle_inject/1
