stem	K	b	q	verdict	nv	ngens	form_s	mod_verdict	mod_s	mod_rss_GB	mod_deg	exq_verdict	exq_s	exq_rss_GB	exq_len	host
K7_B6_Q1	7	6	1	EXACTQ_UNIT	50	174	0.334	MODULAR_UNIT	145.072	6.0	.	EXACTQ_UNIT	152.867	6.1	1	ip-172-30-0-11
K7_B7_Q0	7	7	0	MODULAR_UNIT	58	200	3.854	MODULAR_UNIT	407.62	13.4	.	.	.	.	.	ip-172-30-0-119
K7_B8_Q0	7	8	0	MODULAR_UNIT	65	221	22.698	MODULAR_UNIT	588.78	25.2	.	.	.	.	.	ip-172-30-0-5
