source_index_0based	h_power	gamma_power	pi_power	integer_row_equals_multiplier_times_rational_row	denominator_lcm	cleared_integer_content
0	0	1	2	81/2	81	2
1	0	1	1	-81/4	81	4
2	0	1	0	81	81	1
3	0	0	3	-81/2	81	2
4	0	0	2	-81/2	81	2
5	0	0	1	81	81	1
6	0	0	0	-81/2	81	2
7	1	1	2	9/4	9	4
8	1	1	1	81/4	81	4
9	1	0	3	-9/4	9	4
10	1	0	2	-81/4	81	4
11	1	0	1	-81	81	1
12	1	0	0	-27/2	27	2
16	2	0	1	27	27	1
17	2	0	0	27/2	27	2
