step	source_index_0based	h_power	gamma_power	pi_power	pivot_variable	pivot_coefficient	step_rhs	final_rhs
1	22	5	0	1	a2_1	3	4*q2_1/3	4*q2_1/3
2	21	4	0	0	a3_2	6	2*q2_1**2/9 + 4*q3_1/3	2*q2_1**2/9 + 4*q3_1/3
3	20	4	0	1	a3_1	3	4*q3_0/3	4*q3_0/3
4	19	3	0	0	a4_2	6	-2*b4*q2_1**2/9 + 4*q2_1*q3_0/9	-2*b4*q2_1**2/9 + 4*q2_1*q3_0/9
5	18	3	0	1	a4_1	3	2*a2_0*q2_1/3 + 2*b3*q2_1**2/9 - 4*q2_0*q2_1/9	2*a2_0*q2_1/3 + 2*b3*q2_1**2/9 - 4*q2_0*q2_1/9
6	14	2	0	3	a4_0	-12	3*a4_3/4 + q2_1**3/27 - q2_1*q3_1/3	0
7	13	2	1	2	a4_3	-9/4	-4*q2_1**3/81 + 4*q2_1*q3_1/9	-4*q2_1**3/81 + 4*q2_1*q3_1/9
