t	D	DEG_eq	rawP_rank	rawP_coker	raw_D2_Schur	macroP_rank	macroP_coker	macro_D2_Schur	macro_top_Schur	kernel_E
0	54	18	18	0	0	6	12	9	3	-1
1	117	39	18	21	21	6	33	27	6	20
2	180	60	18	42	42	6	54	45	9	41
3	243	81	18	63	63	6	75	63	12	62
