t	D	hom_eq	rawP_unk	rawP_rank	rawP_coker	raw_D2_Schur	macroP_unk	macroP_rank	macroP_coker	macro_D2_Schur	macro_top_Schur
0	54	17	36	17	0	0	12	12	5	3	2
1	117	38	36	36	2	2	12	12	26	21	5
2	180	59	36	36	23	23	12	12	47	39	8
3	243	80	36	36	44	44	12	12	68	57	11
