t	D	weight_A	basis_A	weight_B	basis_B	same_composition
0	54	1111/26	{"major_residual":5,"proper":12,"top_minor":0}	1071/26	{"major_residual":5,"proper":12,"top_minor":0}	true
1	117	5419/32	{"major_residual":26,"proper":12,"top_minor":0}	5185/32	{"major_residual":26,"proper":12,"top_minor":0}	true
2	180	99029/268	{"major_residual":47,"proper":12,"top_minor":0}	95551/268	{"major_residual":47,"proper":12,"top_minor":0}	true
3	243	120919/188	{"major_residual":68,"proper":12,"top_minor":0}	117417/188	{"major_residual":68,"proper":12,"top_minor":0}	true
