admissible rows 48<=n<=100 (Kmin=16, full (1)-(13)): 592
  u_s=1 (Prop 6.4 automatic): 457
  u_s>=2 (hypothesis live)  : 135
  u_s<=0 (no minor disc)    : 0

AUTO  n= 64 m= 48 M=(-48, 24, 60, 62) d=(64, 16, 8, 4, 2) V=(1, 5, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (16,12)
AUTO  n= 72 m= 54 M=(-54, 24, 70) d=(72, 18, 6, 2) V=(15, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,9)
AUTO  n= 72 m= 54 M=(-54, 42, 70) d=(72, 18, 6, 2) V=(1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,9)
AUTO  n= 72 m= 48 M=(-48, 30, 70) d=(72, 24, 6, 2) V=(1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, 42, 70) d=(72, 24, 6, 2) V=(2, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, -32, 70) d=(72, 24, 8, 2) V=(1, 7) d_s=8 v_s=7 u_s=1 v/u=7 ell=5 -> (9,6)
AUTO  n= 72 m= 48 M=(-48, 16, 70) d=(72, 24, 8, 2) V=(1, 7) d_s=8 v_s=7 u_s=1 v/u=7 ell=5 -> (9,6)
AUTO  n= 72 m= 48 M=(-48, 16, 70) d=(72, 24, 8, 2) V=(5, 7) d_s=8 v_s=7 u_s=1 v/u=7 ell=5 -> (9,6)
LIVE  n= 72 m= 48 M=(-48, 32, 70) d=(72, 24, 8, 2) V=(1, 5) d_s=8 v_s=5 u_s=3 v/u=5/3 ell=1 -> (27,18)
AUTO  n= 72 m= 48 M=(-48, 32, 70) d=(72, 24, 8, 2) V=(1, 7) d_s=8 v_s=7 u_s=1 v/u=7 ell=5 -> (9,6)
AUTO  n= 72 m= 48 M=(-48, 40, 70) d=(72, 24, 8, 2) V=(1, 7) d_s=8 v_s=7 u_s=1 v/u=7 ell=5 -> (9,6)
AUTO  n= 72 m= 48 M=(-48, 56, 70) d=(72, 24, 8, 2) V=(8, 7) d_s=8 v_s=7 u_s=1 v/u=7 ell=5 -> (9,6)
AUTO  n= 72 m= 48 M=(-48, -32, -4, 70) d=(72, 24, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -32, 12, 70) d=(72, 24, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -32, 52, 70) d=(72, 24, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -16, 4, 70) d=(72, 24, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
