source	band	monomial	degree_in_auxiliaries	terms_over_Qy	expression
28	4	[0,0]	3	12	30*a1_0*b4*q4_1 + 90*a1_0*q2_0*q5_1 - 15*a1_0*q4_1**2 - 30*a1_0*q5_0 - 100*a3_0*q5_1 + 10*a3_0 + 7*b3 - 21*b4*q2_0 + 35*b4*q4_1**2 + 70*b4*q5_0 + 42*q2_0*q4_1 + 70*q3_0*q5_1 + 7*q3_0 - 70*q4_1*q5_0
27	4	[0,1]	3	17	30*a1_0*b3*q4_1 + 54*a1_0*q2_0**2 - 90*a1_0*q2_0*q5_0 - 60*a1_0*q3_0*q4_1 - 30*a1_0*q4_0 - 60*a3_0*q2_0 + 100*a3_0*q5_0 + 75*a4_0*q4_1 + 50*a5_0 + 70*b2*q5_1 - 7*b2 - 21*b3*q2_0 + 35*b3*q4_1**2 + 70*b3*q5_0 + 63*q2_0**2*q4_1 + 84*q2_0*q3_0 - 70*q3_0*q5_0 - 35*q4_0*q4_1
23	3	[0,0]	4	24	30*a1_0*b3*q5_1 - 12*a1_0*b3 + 60*a1_0*b4**2*q4_1 + 180*a1_0*b4*q2_0*q5_1 - 60*a1_0*b4*q4_1**2 - 120*a1_0*b4*q5_0 - 120*a1_0*q3_0*q5_1 + 12*a1_0*q3_0 + 60*a1_0*q4_1*q5_0 - 200*a3_0*b4*q5_1 + 40*a3_0*b4 - 40*a3_0*q4_1 + 150*a4_0*q5_1 - 30*a4_0 - 70*b3*b4*q5_1 + 42*b3*b4 + 70*b3*q4_1*q5_1 - 63*b3*q4_1 - 42*b4**2*q2_0 + 70*b4**2*q4_1**2 + 140*b4**2*q5_0 + 168*b4*q2_0*q4_1 + 140*b4*q3_0*q5_1 + 28*b4*q3_0 - 280*b4*q4_1*q5_0 + 126*q2_0**2*q5_1 - 42*q2_0*q4_1**2 - 84*q2_0*q5_0 - 28*q3_0*q4_1 - 70*q4_0*q5_1 + 70*q5_0**2
22	3	[0,1]	4	34	450*a1_0*b2*q5_1 - 60*a1_0*b2 + 450*a1_0*b3*q2_0*q5_1 - 270*a1_0*b4*q2_0**2 + 450*a1_0*b4*q2_0*q5_0 + 300*a1_0*b4*q3_0*q4_1 + 150*a1_0*b4*q4_0 + 270*a1_0*q2_0**2*q4_1 + 360*a1_0*q2_0*q3_0 - 300*a1_0*q3_0*q5_0 - 150*a1_0*q4_0*q4_1 - 500*a3_0*b3*q5_1 + 300*a3_0*b4*q2_0 - 500*a3_0*b4*q5_0 - 300*a3_0*q2_0*q4_1 - 200*a3_0*q3_0 - 375*a4_0*b4*q4_1 - 225*a4_0*q2_0 + 375*a4_0*q5_0 - 250*a5_0*b4 + 250*a5_0*q4_1 + 125*a6_0 - 1050*b2*b4*q5_1 + 210*b2*b4 + 1050*b2*q4_1*q5_1 - 315*b2*q4_1 + 350*b3*q3_0*q5_1 - 315*b4*q2_0**2*q4_1 - 420*b4*q2_0*q3_0 + 350*b4*q3_0*q5_0 + 175*b4*q4_0*q4_1 - 189*q2_0**3 + 315*q2_0**2*q5_0 + 420*q2_0*q3_0*q4_1 + 210*q2_0*q4_0 + 140*q3_0**2 - 175*q4_0*q5_0
21	3	[0,2]	2	3	30*a1_0*b1*q5_1 - 4*a1_0*b1 - 70*b1*b4*q5_1 + 14*b1*b4 + 70*b1*q4_1*q5_1 - 21*b1*q4_1
19	3	[1,2]	1	3	30*a1_0*q5_1 - 4*a1_0 - 70*b4*q5_1 + 14*b4 + 70*q4_1*q5_1 - 21*q4_1
18	2	[0,0]	5	39	-150*a1_0*b3*b4*q5_1 + 120*a1_0*b3*b4 + 150*a1_0*b3*q4_1*q5_1 - 90*a1_0*b3*q4_1 + 150*a1_0*b4**2*q4_1**2 + 300*a1_0*b4**2*q5_0 - 180*a1_0*b4*q2_0*q4_1 + 600*a1_0*b4*q3_0*q5_1 - 120*a1_0*b4*q3_0 - 600*a1_0*b4*q4_1*q5_0 + 90*a1_0*q2_0*q4_1**2 - 90*a1_0*q2_0*q5_0 - 60*a1_0*q3_0*q4_1 - 300*a1_0*q4_0*q5_1 - 30*a1_0*q4_0 + 150*a1_0*q5_0**2 - 100*a3_0*b4**2 + 400*a3_0*b4*q4_1 - 100*a3_0*q4_1**2 + 100*a3_0*q5_0 - 750*a4_0*b4*q5_1 + 300*a4_0*b4 - 75*a4_0*q4_1 + 500*a5_0*q5_1 + 210*b2*q5_1 - 21*b2 - 105*b3*b4**2 - 350*b3*b4*q4_1*q5_1 + 630*b3*b4*q4_1 - 210*b3*q2_0*q5_1 + 63*b3*q2_0 - 210*b3*q4_1**2 + 350*b3*q5_0*q5_1 - 105*b3*q5_0 - 420*b4**2*q2_0*q4_1 - 70*b4**2*q3_0 + 700*b4**2*q4_1*q5_0 - 630*b4*q2_0**2*q5_1 + 126*b4*q2_0**2 + 210*b4*q2_0*q4_1**2 + 420*b4*q2_0*q5_0 + 280*b4*q3_0*q4_1 + 350*b4*q4_0*q5_1 - 700*b4*q5_0**2 - 63*q2_0**2*q4_1 + 420*q2_0*q3_0*q5_1 + 84*q2_0*q3_0 - 70*q3_0*q4_1**2 - 350*q3_0*q5_0 - 105*q4_0*q4_1
17	2	[0,1]	5	44	450*a1_0*b2*b4*q5_1 - 120*a1_0*b2*b4 - 450*a1_0*b2*q4_1*q5_1 + 180*a1_0*b2*q4_1 - 90*a1_0*b3*q2_0*q4_1 - 300*a1_0*b3*q3_0*q5_1 + 270*a1_0*b4*q2_0**2*q4_1 + 360*a1_0*b4*q2_0*q3_0 - 300*a1_0*b4*q3_0*q5_0 - 150*a1_0*b4*q4_0*q4_1 - 180*a1_0*q2_0*q3_0*q4_1 - 90*a1_0*q2_0*q4_0 - 120*a1_0*q3_0**2 + 150*a1_0*q4_0*q5_0 - 300*a3_0*b4*q2_0*q4_1 - 200*a3_0*b4*q3_0 + 200*a3_0*q3_0*q4_1 + 100*a3_0*q4_0 + 375*a4_0*b3*q5_1 - 225*a4_0*b4*q2_0 + 375*a4_0*b4*q5_0 + 150*a4_0*q3_0 + 250*a5_0*b4*q4_1 - 250*a5_0*q5_0 + 125*a6_0*b4 - 125*a6_0*q4_1 + 105*b2*b4**2 + 1050*b2*b4*q4_1*q5_1 - 630*b2*b4*q4_1 + 420*b2*q2_0*q5_1 - 147*b2*q2_0 + 315*b2*q4_1**2 - 1050*b2*q5_0*q5_1 + 315*b2*q5_0 + 315*b3*q2_0**2*q5_1 + 63*b3*q2_0**2 - 105*b3*q2_0*q4_1**2 - 210*b3*q2_0*q5_0 - 175*b3*q4_0*q5_1 - 189*b4*q2_0**3 + 315*b4*q2_0**2*q5_0 + 420*b4*q2_0*q3_0*q4_1 + 210*b4*q2_0*q4_0 + 140*b4*q3_0**2 - 175*b4*q4_0*q5_0 + 126*q2_0**2*q3_0 - 210*q2_0*q3_0*q5_0 - 105*q2_0*q4_0*q4_1 - 140*q3_0**2*q4_1 - 140*q3_0*q4_0
16	2	[0,2]	3	7	-150*a1_0*b1*b4*q5_1 + 40*a1_0*b1*b4 + 150*a1_0*b1*q4_1*q5_1 - 60*a1_0*b1*q4_1 - 35*b1*b4**2 - 350*b1*b4*q4_1*q5_1 + 210*b1*b4*q4_1 - 210*b1*q2_0*q5_1 + 56*b1*q2_0 - 105*b1*q4_1**2 + 350*b1*q5_0*q5_1 - 105*b1*q5_0
13	2	[1,2]	2	7	-150*a1_0*b4*q5_1 + 40*a1_0*b4 + 150*a1_0*q4_1*q5_1 - 60*a1_0*q4_1 - 35*b4**2 - 350*b4*q4_1*q5_1 + 210*b4*q4_1 - 210*q2_0*q5_1 + 56*q2_0 - 105*q4_1**2 + 350*q5_0*q5_1 - 105*q5_0
