source	band	monomial	degree_in_auxiliaries	terms_over_Qy	expression
5	0	[0,1]	9	4	-296465075*b3**2*b4**3*q5_1/682892 + 74461295*b3**2*b4**3/341446 + 118707843365875*b3*b4**6*q5_1/18377989504 - 23868524554775*b3*b4**6/9188994752 - 1694494355025331875*b4**9*q5_1/123647113382912 + 341403749371530375*b4**9/61823556691456 + 175*q5_1 - 28
11	1	[0,1]	8	3	5660211*b3**2*b4**2*q5_1/94192 - 4375443*b3**2*b4**2/235480 - 870322181215*b3*b4**5*q5_1/574312172 + 174973769459*b3*b4**5/287156086 + 604681945158510025*b4**8*q5_1/123647113382912 - 121589896864984565*b4**8/61823556691456
17	2	[0,1]	7	3	-1260*b3**2*b4*q5_1/29 + 252*b3**2*b4/29 - 595715675*b3*b4**4*q5_1/5658248 + 121458655*b3*b4**4/2829124 + 16987978029625*b4**7*q5_1/76137385088 - 3520444223525*b4**7/38068692544
22	3	[0,1]	6	3	28*b3**2*q5_1 - 28*b3**2/5 - 231948605*b3*b4**3*q5_1/390224 + 46669273*b3*b4**3/195112 + 151375764222725*b4**6*q5_1/76137385088 - 30491453395585*b4**6/38068692544
