t	step	band	tag	family	variable	u_primitive_Q_associate	resultant_H_raw_u	source	unit_deferrals_before_pivot	status
4	15	2	11	low_P_chain	a2_0	720*q9_1 - 119	3785292	14	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
4	16	2	00	scalar_chain	a11_0	q9_1	70	18	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
4	17	1	12	Q_chain	q7_0	864*q9_1 - 245	-3708180	7	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
4	18	1	11	low_P_chain	a3_0	630*q9_1 - 107	2510028	8	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
4	19	1	00	scalar_chain	a12_0	q9_1	70	12	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
4	20	0	12	Q_chain	q8_0	9*q9_1 - 5	5670	0	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
4	21	0	11	endpoint_A	q9_0	54*q9_1 - 5	82620	1	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
4	22	0	00	scalar_chain	b1	45*q9_1 - 7	19278	6	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	1	10	01	top_endpoint	a11_0	1	1	60	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	2	10	00	scalar_chain	a6_0	22*q11_1 - 1	33396	61	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	3	9	12	Q_chain	q7_1	11*q11_1 - 3	-726	52	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	4	9	00	scalar_chain	a7_0	11*q11_1 - 1	5082	56	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	5	8	12	Q_chain	q8_1	11*q11_1 - 3	-726	47	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	6	8	00	scalar_chain	a8_0	22*q11_1 - 3	10164	51	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	7	7	12	Q_chain	q9_1	11*q11_1 - 3	-726	42	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	8	7	00	scalar_chain	a9_0	11*q11_1 - 2	726	46	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	9	6	12	Q_chain	q10_1	11*q11_1 - 3	-726	37	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	10	6	00	scalar_chain	a10_0	22*q11_1 - 5	-1452	41	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	11	5	12	Q_chain	q5_0	66*q11_1 - 17	-24684	31	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	12	5	00	scalar_chain	b2	4*q11_1 - 1	-84	36	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	13	4	12	Q_chain	q6_0	143*q11_1 - 37	-116886	25	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	14	4	11	low_P_chain	a1_0	605*q11_1 - 96	4716822	26	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	15	4	00	scalar_chain	a12_0	q11_1	102	30	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	16	3	12	Q_chain	q7_0	88*q11_1 - 23	-45012	19	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	17	3	11	low_P_chain	a2_0	1100*q11_1 - 179	13998732	20	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	18	3	00	scalar_chain	a13_0	q11_1	102	24	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	19	2	12	Q_chain	q8_0	198*q11_1 - 53	-233772	13	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	20	2	11	low_P_chain	a3_0	6*q11_1 - 1	372	14	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	21	2	00	scalar_chain	a14_0	q11_1	102	18	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	22	1	12	Q_chain	q9_0	66*q11_1 - 19	-24684	7	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	23	1	11	low_P_chain	a4_0	88*q11_1 - 15	71148	8	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	24	1	00	scalar_chain	a15_0	q11_1	102	12	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	25	0	12	Q_chain	q10_0	11*q11_1 - 7	22506	0	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	26	0	11	endpoint_A	q11_0	11*q11_1 - 1	5082	1	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
5	27	0	00	scalar_chain	b1	110*q11_1 - 17	172788	6	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	1	12	01	top_endpoint	a13_0	1	1	71	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	2	12	00	scalar_chain	a7_0	26*q13_1 - 1	68276	72	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	3	11	12	Q_chain	q8_1	26*q13_1 - 7	-4732	63	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	4	11	00	scalar_chain	a8_0	13*q13_1 - 1	11492	67	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	5	10	12	Q_chain	q9_1	26*q13_1 - 7	-4732	58	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	6	10	00	scalar_chain	a9_0	26*q13_1 - 3	27716	62	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	7	9	12	Q_chain	q10_1	26*q13_1 - 7	-4732	53	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	8	9	00	scalar_chain	a10_0	13*q13_1 - 2	3380	57	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	9	8	12	Q_chain	q11_1	26*q13_1 - 7	-4732	48	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	10	8	00	scalar_chain	a11_0	26*q13_1 - 5	3380	52	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	11	7	12	Q_chain	q12_1	26*q13_1 - 7	-4732	43	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	12	7	00	scalar_chain	a12_0	13*q13_1 - 3	-676	47	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	13	6	12	Q_chain	q6_0	39*q13_1 - 10	-10140	37	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	14	6	00	scalar_chain	b2	4*q13_1 - 1	-100	42	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	15	5	12	Q_chain	q7_0	416*q13_1 - 107	-1160692	31	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	16	5	11	low_P_chain	a1_0	845*q13_1 - 133	13112372	32	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	17	5	00	scalar_chain	a14_0	q13_1	140	36	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	18	4	12	Q_chain	q8_0	1677*q13_1 - 434	-19065228	25	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	19	4	11	low_P_chain	a2_0	1560*q13_1 - 251	40886508	26	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	20	4	00	scalar_chain	a15_0	q13_1	140	30	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
