denominator	multiplicity	first_label	factorization
1	723287	transport_chart_clear	[]
x	251	Xminus1_11_residual_inverse	[('x', 1)]
x^2	159	dependency_weights	[('x', 2)]
x^3	111	dependency_weights	[('x', 3)]
x^4	71	dependency_weights	[('x', 4)]
x^5	44	dependency_weights	[('x', 5)]
x^6	24	first_multipliers	[('x', 6)]
x^7	12	normalized_first_multipliers	[('x', 7)]
x^8	1	transport_chart_clear	[('x', 8)]
