receipt_path	sha256	start_utc	end_utc	final_status	exit_code	window_overlap_seconds
xmodel/f10-univariate-linear-decision-gate-fable5-20260909.run.v2	840c275a729810a1feac989735162f8a96505e9b9c68423f863a39c59a4d7fee	2026-09-09T19:15:02Z	2026-09-09T19:23:03Z	DONE	0	363
xmodel/f10-r1-normalized-backend-gate-fable5-20260909.run.v2	2fba9b587bbc1e0bb23445cc500a18975676e7cc32120d9408426efcc38d7fe1	2026-09-09T19:17:57Z	2026-09-09T19:33:35Z	DONE	0	938
xmodel/f10-all-r-critical-band-gate-fable5-20260909.run.v2	9d4795888349ea067a4a45f8fe8defbc659b67616651096c6a83362b1d3166b4	2026-09-09T19:27:13Z	2026-09-09T19:38:44Z	DONE	0	691
xmodel/f10-r1-univariate-adapter-gate-fable5-20260909.run.v2	e489d754e020030e9ce8851a8d9f76190fea99fc4038a49ac61a9b9bb8560e53	2026-09-09T19:41:10Z	2026-09-09T19:49:10Z	DONE	0	480
xmodel/f10-all-r-early-band-tower-gate-fable5-20260909.run.v2	21842c894d82edd9cc040b1501a0f8d4ec767fa1fbba26d462be71e0e81bf1d5	2026-09-09T19:45:16Z	2026-09-09T19:55:18Z	DONE	0	602
xmodel/f10-r1-normalized-runtime-gate-fable5-20260909.run.v2	0b5cc2e575e794a9be4ea677758f5dab06ec1f16d29287eb976019509eeed61f	2026-09-09T19:57:38Z	2026-09-09T20:08:50Z	DONE	0	672
xmodel/f10-all-r-middle-band-gate-fable5-20260909.run.v2	5516707e08e34de1152755b61918cd3a6b52cae2c7384452190693359b80d998	2026-09-09T20:21:05Z	2026-09-09T20:31:43Z	DONE	0	638
xmodel/f10-r1-normalized-runtime-evidence-gate-fable5-20260909.run.v2	826f8af6e7f1049e5f1f2b915fdf4e63f1cbe13a6cfa6f96696a96d2622f0781	2026-09-09T20:38:46Z	2026-09-09T20:46:53Z	DONE	0	487
xmodel/f10-r1-univariate-runtime-gate-fable5-20260909.run.v2	b0a443e1a61d565747feb627ee55ac95be23503c717e28b65adfba5c1cafc37a	2026-09-09T20:43:15Z	2026-09-09T20:51:29Z	DONE	0	494
xmodel/f10-all-r-late-contact-gate-fable5-20260909.run.v2	66edfb332c8108e1272c0c02f5d8c5b2a820f178216ac3ae98000c6520dd180d	2026-09-09T20:46:28Z	2026-09-09T20:55:43Z	DONE	0	555
xmodel/f10-two-exponent-contact-gate-fable5-20260909.run.v2	b598800e5922b964c90a2c8a2e6f8c1803e54fd4762bea17bc0fda63ba84bddd	2026-09-09T21:01:04Z	2026-09-09T21:12:51Z	DONE	0	707
xmodel/f10-r1-univariate-runtime-evidence-gate-fable5-20260909.run.v2	7ae61a7111b07c8121c40080fe00a43348f0a9e058b0e6ab05f9ae9e125ab11e	2026-09-09T21:20:38Z	2026-09-09T21:28:35Z	DONE	0	477
xmodel/f10-two-contact-seven-adic-gate-fable5-20260909.run.v2	b8148b9cc96ae5ff4bdea15d25ba0fddb42cae4752780df5ec5dbb9f9d8a6775	2026-09-09T21:36:27Z	2026-09-09T21:43:02Z	DONE	0	395
xmodel/f10-r1-exact-linear-decision-gate-fable5-20260909.run.v2	7456595d6ac2adcb32f583ca6ba3dc30ff89a92f251445a6ae4f9e9b0a353046	2026-09-09T21:59:13Z	2026-09-09T22:08:20Z	DONE	0	547
xmodel/f10-two-contact-residual-arithmetic-gate-fable5-20260909.run.v2	dcce4295940248679213cec3927d240aeb8b07f73f0fa22b7c95ac8a7fe66ad4	2026-09-09T22:02:17Z	2026-09-09T22:10:55Z	DONE	0	518
xmodel/f10-r1-linear-compatibility-gate-fable5-20260909.run.v2	782c8ba6096e61c1ec5937b14ca031e70746dd2fc545587f5e44a795194b4715	2026-09-09T22:21:22Z	2026-09-09T22:30:27Z	DONE	0	545
