denominator	multiplicity	first_label	factorization
1	3655128	current_13_weight	[]
x	1025	current_13_first_multipliers	[('x', 1)]
x^2	448	current_13_first_multipliers	[('x', 2)]
x^3	106	current_13_first_multipliers	[('x', 3)]
x^4	26	current_13_first_multipliers	[('x', 4)]
x^5	2	current_13_first_multipliers	[('x', 5)]
x^6	1	transport_chart_clear	[('x', 6)]
