step	source_index_0based	h_power	gamma_power	pi_power	pivot_variable	pivot_coefficient	step_rhs	final_rhs
1	50	13	0	1	a4_1	7	10*q4_1/7	10*q4_1/7
2	49	12	0	1	a5_1	7	9*a1_0*q4_1/7 + 10*q5_1/7	9*a1_0*q4_1/7 + 10*q5_1/7
3	48	11	0	1	a6_1	7	9*a1_0*q5_1/7 + 8*a2_0*q4_1/7 - 50*q2_0*q4_1/49 + 10*q6_1/7	9*a1_0*q5_1/7 + 8*a2_0*q4_1/7 - 50*q2_0*q4_1/49 + 10*q6_1/7
4	47	10	0	0	a7_2	14	15*q4_1**2/49 + 10*q7_1/7	15*q4_1**2/49 + 10*q7_1/7
5	46	10	0	1	a7_1	7	-45*a1_0*q2_0*q4_1/49 + 9*a1_0*q6_1/7 + 8*a2_0*q5_1/7 - 50*q2_0*q5_1/49 - 40*q3_0*q4_1/49 + 10*q7_0/7	-45*a1_0*q2_0*q4_1/49 + 9*a1_0*q6_1/7 + 8*a2_0*q5_1/7 - 50*q2_0*q5_1/49 - 40*q3_0*q4_1/49 + 10*q7_0/7
6	45	9	0	0	a8_2	14	9*a1_0*q4_1**2/49 + 9*a1_0*q7_1/7 - 15*b4*q4_1**2/49 + 30*q4_1*q5_1/49	9*a1_0*q4_1**2/49 + 9*a1_0*q7_1/7 - 15*b4*q4_1**2/49 + 30*q4_1*q5_1/49
7	44	9	0	1	a8_1	7	-45*a1_0*q2_0*q5_1/49 - 36*a1_0*q3_0*q4_1/49 + 9*a1_0*q7_0/7 - 40*a2_0*q2_0*q4_1/49 + 8*a2_0*q6_1/7 + 6*a4_0*q4_1/7 + 15*b3*q4_1**2/49 + 250*q2_0**2*q4_1/343 - 50*q2_0*q6_1/49 - 40*q3_0*q5_1/49 - 30*q4_0*q4_1/49	-45*a1_0*q2_0*q5_1/49 - 36*a1_0*q3_0*q4_1/49 + 9*a1_0*q7_0/7 - 40*a2_0*q2_0*q4_1/49 + 8*a2_0*q6_1/7 + 6*a4_0*q4_1/7 + 15*b3*q4_1**2/49 + 250*q2_0**2*q4_1/343 - 50*q2_0*q6_1/49 - 40*q3_0*q5_1/49 - 30*q4_0*q4_1/49
8	43	8	0	0	a9_2	14	-9*a1_0*b4*q4_1**2/49 + 18*a1_0*q4_1*q5_1/49 + 4*a2_0*q4_1**2/49 + 8*a2_0*q7_1/7 - 30*b4*q4_1*q5_1/49 - 100*q2_0*q4_1**2/343 - 50*q2_0*q7_1/49 + 30*q4_1*q6_1/49 + 15*q5_1**2/49	-9*a1_0*b4*q4_1**2/49 + 18*a1_0*q4_1*q5_1/49 + 4*a2_0*q4_1**2/49 + 8*a2_0*q7_1/7 - 30*b4*q4_1*q5_1/49 - 100*q2_0*q4_1**2/343 - 50*q2_0*q7_1/49 + 30*q4_1*q6_1/49 + 15*q5_1**2/49
9	42	8	0	1	a9_1	7	9*a1_0*b3*q4_1**2/49 + 225*a1_0*q2_0**2*q4_1/343 - 45*a1_0*q2_0*q6_1/49 - 36*a1_0*q3_0*q5_1/49 - 27*a1_0*q4_0*q4_1/49 - 40*a2_0*q2_0*q5_1/49 - 32*a2_0*q3_0*q4_1/49 + 8*a2_0*q7_0/7 + 6*a4_0*q5_1/7 + 5*a5_0*q4_1/7 + 30*b3*q4_1*q5_1/49 + 250*q2_0**2*q5_1/343 + 400*q2_0*q3_0*q4_1/343 - 50*q2_0*q7_0/49 - 40*q3_0*q6_1/49 - 30*q4_0*q5_1/49 - 20*q4_1*q5_0/49	9*a1_0*b3*q4_1**2/49 + 225*a1_0*q2_0**2*q4_1/343 - 45*a1_0*q2_0*q6_1/49 - 36*a1_0*q3_0*q5_1/49 - 27*a1_0*q4_0*q4_1/49 - 40*a2_0*q2_0*q5_1/49 - 32*a2_0*q3_0*q4_1/49 + 8*a2_0*q7_0/7 + 6*a4_0*q5_1/7 + 5*a5_0*q4_1/7 + 30*b3*q4_1*q5_1/49 + 250*q2_0**2*q5_1/343 + 400*q2_0*q3_0*q4_1/343 - 50*q2_0*q7_0/49 - 40*q3_0*q6_1/49 - 30*q4_0*q5_1/49 - 20*q4_1*q5_0/49
10	41	7	0	0	a10_2	14	-18*a1_0*b4*q4_1*q5_1/49 - 45*a1_0*q2_0*q4_1**2/343 - 45*a1_0*q2_0*q7_1/49 + 18*a1_0*q4_1*q6_1/49 + 9*a1_0*q5_1**2/49 - 4*a2_0*b4*q4_1**2/49 + 8*a2_0*q4_1*q5_1/49 + 100*b4*q2_0*q4_1**2/343 - 30*b4*q4_1*q6_1/49 - 15*b4*q5_1**2/49 - 200*q2_0*q4_1*q5_1/343 - 60*q3_0*q4_1**2/343 - 40*q3_0*q7_1/49 + 30*q4_1*q7_0/49 + 30*q5_1*q6_1/49	-18*a1_0*b4*q4_1*q5_1/49 - 45*a1_0*q2_0*q4_1**2/343 - 45*a1_0*q2_0*q7_1/49 + 18*a1_0*q4_1*q6_1/49 + 9*a1_0*q5_1**2/49 - 4*a2_0*b4*q4_1**2/49 + 8*a2_0*q4_1*q5_1/49 + 100*b4*q2_0*q4_1**2/343 - 30*b4*q4_1*q6_1/49 - 15*b4*q5_1**2/49 - 200*q2_0*q4_1*q5_1/343 - 60*q3_0*q4_1**2/343 - 40*q3_0*q7_1/49 + 30*q4_1*q7_0/49 + 30*q5_1*q6_1/49
