step	source_index_0based	h_power	gamma_power	pi_power	pivot_variable	pivot_coefficient	step_rhs	final_rhs
1	36	9	0	1	a3_1	5	7*q3_1/5	7*q3_1/5
2	35	8	0	1	a4_1	5	6*a1_0*q3_1/5 + 7*q4_1/5	6*a1_0*q3_1/5 + 7*q4_1/5
3	34	7	0	0	a5_2	10	7*q3_1**2/25 + 7*q5_1/5	7*q3_1**2/25 + 7*q5_1/5
4	33	7	0	1	a5_1	5	6*a1_0*q4_1/5 - 21*q2_0*q3_1/25 + 7*q5_0/5	6*a1_0*q4_1/5 - 21*q2_0*q3_1/25 + 7*q5_0/5
5	32	6	0	0	a6_2	10	3*a1_0*q3_1**2/25 + 6*a1_0*q5_1/5 - 7*b4*q3_1**2/25 + 14*q3_1*q4_1/25	3*a1_0*q3_1**2/25 + 6*a1_0*q5_1/5 - 7*b4*q3_1**2/25 + 14*q3_1*q4_1/25
6	31	6	0	1	a6_1	5	-18*a1_0*q2_0*q3_1/25 + 6*a1_0*q5_0/5 + 4*a3_0*q3_1/5 + 7*b3*q3_1**2/25 - 21*q2_0*q4_1/25 - 14*q3_0*q3_1/25	-18*a1_0*q2_0*q3_1/25 + 6*a1_0*q5_0/5 + 4*a3_0*q3_1/5 + 7*b3*q3_1**2/25 - 21*q2_0*q4_1/25 - 14*q3_0*q3_1/25
7	30	5	0	0	a7_2	10	-3*a1_0*b4*q3_1**2/25 + 6*a1_0*q3_1*q4_1/25 - 14*b4*q3_1*q4_1/25 - 21*q2_0*q3_1**2/125 - 21*q2_0*q5_1/25 + 14*q3_1*q5_0/25 + 7*q4_1**2/25	-3*a1_0*b4*q3_1**2/25 + 6*a1_0*q3_1*q4_1/25 - 14*b4*q3_1*q4_1/25 - 21*q2_0*q3_1**2/125 - 21*q2_0*q5_1/25 + 14*q3_1*q5_0/25 + 7*q4_1**2/25
8	29	5	0	1	a7_1	5	3*a1_0*b3*q3_1**2/25 - 18*a1_0*q2_0*q4_1/25 - 12*a1_0*q3_0*q3_1/25 + 4*a3_0*q4_1/5 + 3*a4_0*q3_1/5 + 14*b3*q3_1*q4_1/25 + 63*q2_0**2*q3_1/125 - 21*q2_0*q5_0/25 - 14*q3_0*q4_1/25 - 7*q3_1*q4_0/25	3*a1_0*b3*q3_1**2/25 - 18*a1_0*q2_0*q4_1/25 - 12*a1_0*q3_0*q3_1/25 + 4*a3_0*q4_1/5 + 3*a4_0*q3_1/5 + 14*b3*q3_1*q4_1/25 + 63*q2_0**2*q3_1/125 - 21*q2_0*q5_0/25 - 14*q3_0*q4_1/25 - 7*q3_1*q4_0/25
9	25	4	0	3	a7_0	-20	3*a7_3/4 + 21*q3_1**3/500 - 21*q3_1*q5_1/50	0
10	24	4	1	2	a7_3	-15/4	-7*q3_1**3/125 + 14*q3_1*q5_1/25	-7*q3_1**3/125 + 14*q3_1*q5_1/25
