source_index_0based	h_power	gamma_power	pi_power	integer_row_equals_multiplier_times_rational_row	denominator_lcm	cleared_integer_content
0	0	1	2	-125	125	1
1	0	1	1	125	125	1
2	0	1	0	125	125	1
3	0	0	3	125	125	1
4	0	0	2	125	125	1
5	0	0	1	-125	125	1
6	0	0	0	-125	125	1
7	1	1	2	125	125	1
8	1	1	1	-125	125	1
9	1	0	3	-125	125	1
10	1	0	2	-125	125	1
11	1	0	1	125	125	1
12	1	0	0	125	125	1
13	2	1	2	-125/3	125	3
14	2	1	1	125/28	125	28
15	2	0	3	125/3	125	3
16	2	0	2	125	125	1
17	2	0	1	-125	125	1
18	2	0	0	-125	125	1
19	3	1	2	25/3	25	3
20	3	0	3	-25/3	25	3
21	3	0	2	-25/3	25	3
22	3	0	1	-125	125	1
23	3	0	0	-25	25	1
27	4	0	1	25	25	1
28	4	0	0	25/2	25	2
