K9_B14_Q1	172.30.0.88	RUNNING	.	.	.	.	.	RUNNING	137	.	0	PENDING	.	.	.	.
K9_B15_Q0	172.30.0.60	RUNNING	.	.	.	.	.	RUNNING	137	.	0	PENDING	.	.	.	.
K9_B15_Q1	172.30.0.246	RUNNING	.	.	.	.	.	RUNNING	137	.	0	PENDING	.	.	.	.
K9_B16_Q0	172.30.0.9	RUNNING	.	.	.	.	.	RUNNING	137	.	0	PENDING	.	.	.	.
K9_B16_Q1	172.30.0.88	RUNNING	.	.	.	.	.	RUNNING	137	.	0	PENDING	.	.	.	.
K9_B17_Q0	172.30.0.60	RUNNING	.	.	.	.	.	RUNNING	137	.	0	PENDING	.	.	.	.
K9_B17_Q1	172.30.0.246	RUNNING	.	.	.	.	.	RUNNING	137	.	0	PENDING	.	.	.	.
K9_B8_Q0	172.30.0.9	RUNNING	.	1366.323	155.267	83	316	RUNNING	.	0	0	PENDING	.	.	.	.
K9_B8_Q1	172.30.0.88	RUNNING	.	1824.844	72.72	82	310	RUNNING	.	0	0	PENDING	.	.	.	.
K9_B9_Q0	172.30.0.60	RUNNING	.	926.157	1677.538	92	342	RUNNING	137	0	1	PENDING	.	.	.	.
K9_B9_Q1	172.30.0.246	RUNNING	.	1829.658	1524.932	91	336	RUNNING	137	0	1	PENDING	.	.	.	.
