step	source	band	gamma	pi	variable	coefficient
1	36	9	0	1	a3_1	5
2	35	8	0	1	a4_1	5
3	34	7	0	0	a5_2	10
4	33	7	0	1	a5_1	5
5	32	6	0	0	a6_2	10
6	31	6	0	1	a6_1	5
7	30	5	0	0	a7_2	10
8	29	5	0	1	a7_1	5
9	25	4	0	3	a7_0	-20
10	24	4	1	2	a7_3	-15/4
