step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	50	8	0	0	b3	-130	-1/130	16900	{'numer': {'2': 2, '5': 2, '13': 2}, 'denom': {}}	37	25	18662
2	49	8	0	1	b2	37908*q9_1 - 3510	5/11934 - q9_1/1105	40715466480	{'numer': {'2': 4, '3': 11, '5': 1, '13': 2, '17': 1}, 'denom': {}}	36	24	87074
3	45	7	0	0	a6_0	5103 - 45927*q9_1	2*q9_1/2079 - 8/18711	46404365238	{'numer': {'2': 1, '3': 16, '7': 2, '11': 1}, 'denom': {}}	35	23	92746
4	44	7	0	1	a10_0	-177147	-1/177147	31381059609	{'numer': {'3': 22}, 'denom': {}}	34	22	91805
5	41	7	1	2	b4	702*q9_1 - 130	2/13 - 27*q9_1/65	1642680	{'numer': {'2': 3, '3': 5, '5': 1, '13': 2}, 'denom': {}}	32	21	50406
6	40	6	0	0	a7_0	13122 - 78732*q9_1	q9_1/567 - 1/1458	43391094768	{'numer': {'2': 4, '3': 18, '7': 1}, 'denom': {}}	31	20	51219
7	39	6	0	1	a11_0	-118098	-1/118098	13947137604	{'numer': {'2': 2, '3': 20}, 'denom': {}}	30	19	50079
8	36	6	1	2	a2_0	693 - 5346*q9_1	6*q9_1/539 - 23/4851	466802028	{'numer': {'2': 2, '3': 9, '7': 2, '11': 2}, 'denom': {}}	28	18	32542
9	35	5	0	0	a8_0	131220 - 590490*q9_1	1/3645 - q9_1/1215	-697356880200	{'numer': {'2': 3, '3': 20, '5': 2, '-1': 1}, 'denom': {}}	27	17	31884
10	34	5	0	1	a12_0	-59049	-1/59049	3486784401	{'numer': {'3': 20}, 'denom': {}}	26	16	30666
11	31	5	1	2	a3_0	120 - 810*q9_1	9*q9_1/85 - 11/255	7435800	{'numer': {'2': 3, '3': 7, '5': 2, '17': 1}, 'denom': {}}	24	15	22101
12	30	4	0	0	a9_0	472392*q9_1 - 131220	q9_1/2430 - 1/8748	-1115771008320	{'numer': {'2': 6, '3': 20, '5': 1, '-1': 1}, 'denom': {}}	23	14	21567
13	25	4	1	2	q4_0	1820 - 7020*q9_1	4/455 - 27*q9_1/910	-229975200	{'numer': {'2': 5, '3': 5, '5': 2, '7': 1, '13': 2, '-1': 1}, 'denom': {}}	21	13	17052
14	20	3	1	1	a1_0	3600 - 11664*q9_1	1/198 - 9*q9_1/440	-554273280	{'numer': {'2': 9, '3': 9, '5': 1, '11': 1, '-1': 1}, 'denom': {}}	20	12	5010
15	19	3	1	2	a5_0	43740*q9_1 - 10152	15*q9_1/2006 - 131/54162	-5685710112	{'numer': {'2': 5, '3': 11, '17': 1, '59': 1, '-1': 1}, 'denom': {}}	18	11	4095
16	14	2	1	1	q2_0	4940/3 - 6240*q9_1	27/2860 - 162*q9_1/5005	-187387200	{'numer': {'2': 6, '3': 2, '5': 2, '7': 1, '11': 1, '13': 2, '-1': 1}, 'denom': {}}	17	10	1916
17	13	2	1	2	q6_0	606528*q9_1/11 - 161460/11	4*q9_1/1105 - 25/23868	-162861865920/11	{'numer': {'2': 6, '3': 11, '5': 1, '13': 2, '17': 1, '-1': 1}, 'denom': {'11': 1}}	15	9	1589
18	8	1	1	1	q3_0	80990/51 - 100620*q9_1/17	2001/208390 - 3483*q9_1/104195	-2925795600/17	{'numer': {'2': 4, '3': 3, '5': 2, '7': 1, '13': 2, '229': 1, '-1': 1}, 'denom': {'17': 1}}	14	8	887
19	7	1	1	2	q7_0	404352*q9_1/7 - 16380	24*q9_1/7085 - 47/51012	-116025773760/7	{'numer': {'2': 6, '3': 9, '5': 1, '13': 2, '109': 1, '-1': 1}, 'denom': {'7': 1}}	12	7	728
20	6	0	0	0	b1	17550*q9_1 - 2730	18/7735 - 9*q9_1/1547	2932183800	{'numer': {'2': 3, '3': 6, '5': 2, '7': 1, '13': 2, '17': 1}, 'denom': {}}	11	6	921
21	1	0	1	1	q9_0	130 - 1404*q9_1	27*q9_1/1105 - 5/442	55851120	{'numer': {'2': 4, '3': 5, '5': 1, '13': 2, '17': 1}, 'denom': {}}	10	5	524
22	0	0	1	2	q8_0	113724*q9_1 - 63180	-q9_1/8190	905320372320	{'numer': {'2': 5, '3': 14, '5': 1, '7': 1, '13': 2}, 'denom': {}}	8	4	311
