step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	8	1	1	1	b4	210*q5_1 - 14	2/35 - 3*q5_1/28	588000	{'numer': {'2': 5, '3': 1, '5': 3, '7': 2}, 'denom': {}}	19	13	462
2	19	3	1	2	a1_0	30*q5_1 - 8	15*q5_1/4 - 5/4	-2400	{'numer': {'2': 5, '3': 1, '5': 2, '-1': 1}, 'denom': {}}	17	12	245
3	1	0	1	1	q5_0	140*q5_1 - 14	5/42 - 5*q5_1/21	176400	{'numer': {'2': 4, '3': 2, '5': 2, '7': 2}, 'denom': {}}	16	11	185
4	13	2	1	2	q2_0	210*q5_1 - 56	15*q5_1/28 - 5/28	-117600	{'numer': {'2': 5, '3': 1, '5': 2, '7': 2, '-1': 1}, 'denom': {}}	14	10	133
5	6	0	0	0	b1	35*q5_1 - 28/5	55/42 - 125*q5_1/42	3528	{'numer': {'2': 3, '3': 2, '7': 2}, 'denom': {}}	13	9	192
6	7	1	1	2	b3	315*q5_1 - 42	1/12 - 5*q5_1/28	529200	{'numer': {'2': 4, '3': 3, '5': 2, '7': 2}, 'denom': {}}	11	8	125
7	28	4	0	0	a3_0	40 - 150*q5_1	1/4 - 3*q5_1/4	-60000	{'numer': {'2': 5, '3': 1, '5': 4, '-1': 1}, 'denom': {}}	10	7	89
8	0	0	1	2	a4_0	-75*q5_1	q5_1/6 - 1/10	135000	{'numer': {'2': 3, '3': 3, '5': 4}, 'denom': {}}	8	6	49
9	23	3	0	0	q4_0	77 - 315*q5_1	8/49 - 45*q5_1/98	-205800	{'numer': {'2': 3, '3': 1, '5': 2, '7': 3, '-1': 1}, 'denom': {}}	7	5	39
10	18	2	0	0	b2	210*q5_1 - 21	5/63 - 10*q5_1/63	396900	{'numer': {'2': 2, '3': 4, '5': 2, '7': 2}, 'denom': {}}	6	4	31
11	27	4	0	1	a5_0	50 - 500*q5_1/3	9/50 - 3*q5_1/5	-250000/3	{'numer': {'2': 4, '5': 6, '-1': 1}, 'denom': {'3': 1}}	5	3	21
12	12	1	0	0	a6_0	-250*q5_1	q5_1/20 - 3/100	1500000	{'numer': {'2': 5, '3': 1, '5': 6}, 'denom': {}}	4	2	13
