step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	20	3	1	1	b4	3510*q9_1 - 130	2/715 - 27*q9_1/5005	632431800	{'numer': {'2': 3, '3': 5, '5': 2, '7': 1, '11': 1, '13': 2}, 'denom': {}}	37	25	6487
2	41	7	1	2	a1_0	3888*q9_1/7 - 144	3*q9_1/8 - 1/9	-10077696/7	{'numer': {'2': 9, '3': 9, '-1': 1}, 'denom': {'7': 1}}	35	24	3468
3	14	2	1	1	a2_0	385 - 3564*q9_1	324*q9_1/27335 - 29/5467	292265820	{'numer': {'2': 2, '3': 5, '5': 1, '7': 1, '11': 2, '71': 1}, 'denom': {}}	34	23	3104
4	36	6	1	2	q2_0	570024*q9_1/71 - 147420/71	261*q9_1/10010 - 31/4004	-21249708480/71	{'numer': {'2': 6, '3': 6, '5': 1, '7': 2, '11': 1, '13': 2, '-1': 1}, 'denom': {'71': 1}}	32	22	2555
5	8	1	1	1	a3_0	175 - 1485*q9_1	594*q9_1/18025 - 52/3605	43800750	{'numer': {'2': 1, '3': 5, '5': 3, '7': 1, '103': 1}, 'denom': {}}	31	21	2158
6	1	0	1	1	q9_0	130 - 1404*q9_1	27*q9_1/1105 - 5/442	55851120	{'numer': {'2': 4, '3': 5, '5': 1, '13': 2, '17': 1}, 'denom': {}}	30	20	1879
7	31	5	1	2	q3_0	258336*q9_1/103 - 66820/103	1242*q9_1/14885 - 295/11908	-3009389760/103	{'numer': {'2': 6, '3': 5, '5': 1, '13': 2, '229': 1, '-1': 1}, 'denom': {'103': 1}}	28	19	1432
8	25	4	1	2	q4_0	1820 - 7020*q9_1	4/455 - 27*q9_1/910	-229975200	{'numer': {'2': 5, '3': 5, '5': 2, '7': 1, '13': 2, '-1': 1}, 'denom': {}}	26	18	1210
9	19	3	1	2	b3	10530*q9_1 - 1430	34/12805 - 81*q9_1/12805	1618039800	{'numer': {'2': 3, '3': 5, '5': 2, '13': 2, '197': 1}, 'denom': {}}	24	17	1120
10	50	8	0	0	a5_0	682344*q9_1/197 - 180036/197	117*q9_1/2006 - 1843/108324	-11371420224/197	{'numer': {'2': 6, '3': 11, '17': 1, '59': 1, '-1': 1}, 'denom': {'197': 1}}	23	16	946
11	13	2	1	2	a6_0	-25515*q9_1	2*q9_1/3675 - 2/6615	45571065750	{'numer': {'2': 1, '3': 12, '5': 3, '7': 3}, 'denom': {}}	21	15	830
12	45	7	0	0	q6_0	518076/35 - 2047032*q9_1/35	245/214812 - 5*q9_1/1326	-2638362227904/175	{'numer': {'2': 6, '3': 15, '13': 2, '17': 1, '-1': 1}, 'denom': {'5': 2, '7': 1}}	20	14	815
13	6	0	0	0	b1	17550*q9_1 - 2730	18/7735 - 9*q9_1/1547	2932183800	{'numer': {'2': 3, '3': 6, '5': 2, '7': 1, '13': 2, '17': 1}, 'denom': {}}	19	13	1305
14	30	4	0	0	a9_0	472392*q9_1	1/61236 - q9_1/34020	15620794116480	{'numer': {'2': 7, '3': 20, '5': 1, '7': 1}, 'denom': {}}	18	12	1273
15	7	1	1	2	a7_0	-13122*q9_1	q9_1/945 - 1/1701	12053081880	{'numer': {'2': 3, '3': 16, '5': 1, '7': 1}, 'denom': {}}	16	11	876
16	40	6	0	0	q7_0	207792/7 - 833976*q9_1/7	7/11772 - 11*q9_1/5668	-417692785536/7	{'numer': {'2': 7, '3': 11, '13': 2, '109': 1, '-1': 1}, 'denom': {'7': 1}}	15	10	798
17	24	3	0	0	a10_0	-354294*q9_1	q9_1/25515 - 1/45927	8786696690520	{'numer': {'2': 3, '3': 22, '5': 1, '7': 1}, 'denom': {}}	14	9	757
18	0	0	1	2	a8_0	32805*q9_1	2/8505 - 2*q9_1/4725	75331761750	{'numer': {'2': 1, '3': 16, '5': 3, '7': 1}, 'denom': {}}	12	8	459
19	35	5	0	0	q8_0	2501928/7 - 10235160*q9_1/7	1/18954 - 5*q9_1/29484	-8380680018048	{'numer': {'2': 7, '3': 18, '13': 2, '-1': 1}, 'denom': {}}	11	7	455
20	49	8	0	1	b2	170586*q9_1/7 - 45630/7	9*q9_1/1105 - 14/5967	-20357733240/7	{'numer': {'2': 3, '3': 11, '5': 1, '13': 2, '17': 1, '-1': 1}, 'denom': {'7': 1}}	10	6	393
21	18	2	0	0	a11_0	-236196*q9_1	q9_1/17010 - 1/30618	3905198529120	{'numer': {'2': 5, '3': 20, '5': 1, '7': 1}, 'denom': {}}	9	5	353
22	12	1	0	0	a12_0	-118098*q9_1	q9_1/8505 - 1/15309	976299632280	{'numer': {'2': 3, '3': 20, '5': 1, '7': 1}, 'denom': {}}	8	4	310
