step	source	band	gamma	pi	variable	coefficient
1	78	21	0	1	a6_1	11
2	77	20	0	1	a7_1	11
3	76	19	0	1	a8_1	11
4	75	18	0	1	a9_1	11
5	74	17	0	1	a10_1	11
6	73	16	0	0	a11_2	22
7	72	16	0	1	a11_1	11
8	71	15	0	0	a12_2	22
9	70	15	0	1	a12_1	11
10	69	14	0	0	a13_2	22
11	68	14	0	1	a13_1	11
12	67	13	0	0	a14_2	22
13	66	13	0	1	a14_1	11
14	65	12	0	0	a15_2	22
15	64	12	0	1	a15_1	11
16	63	11	0	0	a16_2	22
17	62	11	0	1	a16_1	11
18	58	10	0	3	a16_0	-44
19	57	10	1	2	a16_3	-33/4
