step	source	band	gamma	pi	variable	coefficient
1	64	17	0	1	a5_1	9
2	63	16	0	1	a6_1	9
3	62	15	0	1	a7_1	9
4	61	14	0	1	a8_1	9
5	60	13	0	0	a9_2	18
6	59	13	0	1	a9_1	9
7	58	12	0	0	a10_2	18
8	57	12	0	1	a10_1	9
9	56	11	0	0	a11_2	18
10	55	11	0	1	a11_1	9
11	54	10	0	0	a12_2	18
12	53	10	0	1	a12_1	9
13	52	9	0	0	a13_2	18
14	51	9	0	1	a13_1	9
15	47	8	0	3	a13_0	-36
16	46	8	1	2	a13_3	-27/4
