step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	32	5	1	1	b4	10374*q13_1 - 266	2/2261 - 39*q13_1/22610	12196919280	{'numer': {'2': 4, '3': 1, '5': 1, '7': 2, '13': 2, '17': 1, '19': 2}, 'denom': {}}	55	37	45855
2	63	11	1	2	a1_0	1404*q13_1 - 360	13*q13_1/60 - 11/180	-13141440	{'numer': {'2': 6, '3': 5, '5': 1, '13': 2, '-1': 1}, 'denom': {}}	53	36	24641
3	26	4	1	1	a2_0	4760/3 - 15912*q13_1	1053*q13_1/423640 - 33/30260	38947767040/3	{'numer': {'2': 8, '5': 1, '7': 1, '13': 2, '17': 2, '89': 1}, 'denom': {'3': 1}}	52	35	23227
4	58	10	1	2	q2_0	1108536*q13_1/89 - 283822/89	1326*q13_1/54131 - 107/15466	-91774130448/89	{'numer': {'2': 4, '3': 1, '7': 1, '11': 2, '13': 2, '19': 2, '37': 1, '-1': 1}, 'denom': {'89': 1}}	50	34	21424
5	20	3	1	1	a3_0	1120 - 10608*q13_1	663*q13_1/164080 - 41/23440	5324067840	{'numer': {'2': 10, '3': 1, '5': 1, '7': 1, '13': 2, '293': 1}, 'denom': {}}	49	33	18828
6	53	9	1	2	q3_0	3497520*q13_1/293 - 895090/293	9204*q13_1/359765 - 743/102790	-277249299600/293	{'numer': {'2': 4, '3': 1, '5': 2, '7': 1, '13': 2, '19': 2, '541': 1, '-1': 1}, 'denom': {'293': 1}}	47	32	14258
7	14	2	1	1	a4_0	81120*q13_1 - 9100	19/76700 - 6*q13_1/10325	283096632000	{'numer': {'2': 6, '3': 1, '5': 3, '7': 1, '13': 4, '59': 1}, 'denom': {}}	46	31	12529
8	48	8	1	2	q4_0	2240784/59 - 8756397*q13_1/59	53/91143 - 101*q13_1/49077	-8628792540732/59	{'numer': {'2': 2, '3': 6, '7': 1, '13': 4, '19': 2, '41': 1, '-1': 1}, 'denom': {'59': 1}}	44	30	10231
9	8	1	1	1	a5_0	35490*q13_1 - 12740/3	3/4810 - 27*q13_1/18130	144987060400/3	{'numer': {'2': 4, '5': 2, '7': 3, '13': 4, '37': 1}, 'denom': {'3': 1}}	43	29	9058
10	1	0	1	1	q13_0	38532*q13_1 - 3458	1/2470 - 3*q13_1/3325	86608376400	{'numer': {'2': 4, '3': 1, '5': 2, '7': 1, '13': 4, '19': 2}, 'denom': {}}	42	28	8367
