step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	28	4	0	0	b3	7	1/7	49	{'numer': {'7': 2}, 'denom': {}}	19	13	747
2	27	4	0	1	b2	70*q5_1 - 7	5/21 - 10*q5_1/21	44100	{'numer': {'2': 2, '3': 2, '5': 2, '7': 2}, 'denom': {}}	18	12	1365
3	23	3	0	0	q4_0	70*q5_1	3/28 - 5*q5_1/28	117600	{'numer': {'2': 5, '3': 1, '5': 2, '7': 2}, 'denom': {}}	17	11	1550
4	22	3	0	1	a6_0	-125	-1/125	15625	{'numer': {'5': 6}, 'denom': {}}	16	10	1427
5	19	3	1	2	a1_0	4 - 30*q5_1	15*q5_1/8 - 7/8	4800	{'numer': {'2': 6, '3': 1, '5': 2}, 'denom': {}}	14	9	673
6	18	2	0	0	a5_0	500*q5_1 - 150	q5_1/5 - 3/50	-750000	{'numer': {'2': 4, '3': 1, '5': 6, '-1': 1}, 'denom': {}}	13	8	606
7	13	2	1	2	q2_0	210*q5_1 - 56	15*q5_1/28 - 5/28	-117600	{'numer': {'2': 5, '3': 1, '5': 2, '7': 2, '-1': 1}, 'denom': {}}	11	7	381
8	8	1	1	1	b4	91 - 315*q5_1	1/10 - 9*q5_1/28	-294000	{'numer': {'2': 4, '3': 1, '5': 3, '7': 2, '-1': 1}, 'denom': {}}	10	6	129
9	7	1	1	2	a3_0	1350*q5_1 - 300	3*q5_1/16 - 17/240	-2160000	{'numer': {'2': 7, '3': 3, '5': 4, '-1': 1}, 'denom': {}}	8	5	78
10	6	0	0	0	b1	35*q5_1 - 28/5	55/42 - 125*q5_1/42	3528	{'numer': {'2': 3, '3': 2, '7': 2}, 'denom': {}}	7	4	85
11	1	0	1	1	q5_0	140*q5_1 - 14	5/42 - 5*q5_1/21	176400	{'numer': {'2': 4, '3': 2, '5': 2, '7': 2}, 'denom': {}}	6	3	34
12	0	0	1	2	a4_0	675*q5_1/2 - 165/2	3*q5_1/7 - 16/105	-236250	{'numer': {'2': 1, '3': 3, '5': 4, '7': 1, '-1': 1}, 'denom': {}}	4	2	14
