step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	14	2	1	1	b4	210*q7_1 - 10	1/20 - 21*q7_1/220	1293600	{'numer': {'2': 5, '3': 1, '5': 2, '7': 2, '11': 1}, 'denom': {}}	28	19	1978
2	30	5	1	2	a1_0	1512*q7_1/11 - 36	7*q7_1/6 - 13/36	-762048/11	{'numer': {'2': 6, '3': 5, '7': 2, '-1': 1}, 'denom': {'11': 1}}	26	18	1051
3	8	1	1	1	a2_0	88/3 - 252*q7_1	567*q7_1/3124 - 129/1562	2449216/3	{'numer': {'2': 6, '7': 2, '11': 1, '71': 1}, 'denom': {'3': 1}}	25	17	910
4	1	0	1	1	q7_0	210*q7_1 - 20	1/13 - 21*q7_1/130	764400	{'numer': {'2': 4, '3': 1, '5': 2, '7': 2, '13': 1}, 'denom': {}}	24	16	803
5	25	4	1	2	q2_0	65100*q7_1/71 - 17000/71	651*q7_1/3700 - 101/1850	-217560000/71	{'numer': {'2': 6, '3': 1, '5': 4, '7': 2, '37': 1, '-1': 1}, 'denom': {'71': 1}}	22	15	563
6	19	3	1	2	q3_0	840*q7_1 - 220	21*q7_1/110 - 13/220	-2587200	{'numer': {'2': 6, '3': 1, '5': 2, '7': 2, '11': 1, '-1': 1}, 'denom': {}}	20	14	442
7	13	2	1	2	b3	1260*q7_1 - 170	1/46 - 63*q7_1/1265	14876400	{'numer': {'2': 4, '3': 1, '5': 2, '7': 2, '11': 1, '23': 1}, 'denom': {}}	18	13	395
8	39	6	0	0	a4_0	21021/23 - 870534*q7_1/253	1811/130389 - 282*q7_1/6209	-11270303604/253	{'numer': {'2': 2, '3': 3, '7': 6, '887': 1, '-1': 1}, 'denom': {'11': 1, '23': 1}}	17	12	318
9	24	3	0	0	a7_0	14406*q7_1	2/3773 - q7_1/1078	9131444784	{'numer': {'2': 4, '3': 2, '7': 8, '11': 1}, 'denom': {}}	16	11	310
10	7	1	1	2	a5_0	-735*q7_1	q7_1/55 - 4/385	23769900	{'numer': {'2': 2, '3': 2, '5': 2, '7': 4, '11': 1}, 'denom': {}}	14	10	255
11	6	0	0	0	b1	700*q7_1 - 110	87/1430 - 21*q7_1/143	2802800	{'numer': {'2': 4, '5': 2, '7': 2, '11': 1, '13': 1}, 'denom': {}}	13	9	325
12	34	5	0	0	q5_0	13300/11 - 52920*q7_1/11	121/10220 - 27*q7_1/730	-841310400/11	{'numer': {'2': 6, '3': 1, '5': 2, '7': 4, '73': 1, '-1': 1}, 'denom': {'11': 1}}	12	8	273
13	38	6	0	1	b2	10290*q7_1/11 - 2800/11	21*q7_1/130 - 22/455	-37455600/11	{'numer': {'2': 4, '3': 1, '5': 2, '7': 4, '13': 1, '-1': 1}, 'denom': {'11': 1}}	11	7	251
14	0	0	1	2	a6_0	-1372*q7_1	3*q7_1/308 - 3/539	82824896	{'numer': {'2': 6, '7': 6, '11': 1}, 'denom': {}}	9	6	133
15	29	4	0	0	q6_0	120540/11 - 493920*q7_1/11	11/7644 - 2*q7_1/455	-66071678400/11	{'numer': {'2': 6, '3': 3, '5': 2, '7': 6, '13': 1, '-1': 1}, 'denom': {'11': 1}}	8	5	114
16	12	1	0	0	a9_0	-4802*q7_1	3*q7_1/1078 - 6/3773	1014604976	{'numer': {'2': 4, '7': 8, '11': 1}, 'denom': {}}	7	4	98
17	18	2	0	0	a8_0	-9604*q7_1	3*q7_1/2156 - 3/3773	4058419904	{'numer': {'2': 6, '7': 8, '11': 1}, 'denom': {}}	6	3	75
