step	source	band	gamma	pi	variable	coefficient
1	50	13	0	1	a4_1	7
2	49	12	0	1	a5_1	7
3	48	11	0	1	a6_1	7
4	47	10	0	0	a7_2	14
5	46	10	0	1	a7_1	7
6	45	9	0	0	a8_2	14
7	44	9	0	1	a8_1	7
8	43	8	0	0	a9_2	14
9	42	8	0	1	a9_1	7
10	41	7	0	0	a10_2	14
11	40	7	0	1	a10_1	7
12	36	6	0	3	a10_0	-28
13	35	6	1	2	a10_3	-21/4
