ROW|0|0|1|0
ROW|1|1|1|0
ROW|2|2|1|0
ROW|3|3|1|0
ROW|4|3|2|0
ROW|5|3|3|0
ROW|6|3|3|0
ROW|7|3|4|0
ROW|8|3|5|0
ROW|9|3|5|0
ROW|10|3|5|0
ROW|11|3|5|0
ROW|12|3|5|0
ROW|13|3|5|0
ROW|14|3|5|0
ROW|15|4|5|0
ROW|16|5|5|0
ROW|17|5|5|0
ROW|18|5|6|0
ROW|19|5|7|0
ROW|20|5|7|0
ROW|21|6|7|0
ROW|22|6|8|0
ROW|23|6|8|0
ROW|24|6|9|0
ROW|25|6|9|0
ROW|26|6|9|0
ROW|27|6|9|0
ROW|28|7|9|0
ROW|29|7|10|0
ROW|30|8|10|0
ROW|31|8|10|0
ROW|32|8|11|0
ROW|33|8|12|0
ROW|34|8|13|0
ROW|35|9|13|0
ROW|36|9|14|0
ROW|37|9|15|0
ROW|38|10|15|0
ROW|39|10|16|0
ROW|40|11|16|0
ROW|41|11|17|0
ROW|42|12|17|0
ROW|43|12|18|0
ROW|44|12|19|0
ROW|45|12|20|0
ROW|46|12|21|0
ROW|47|12|22|0
ROW|48|13|22|0
ROW|49|13|23|0
ROW|50|13|24|0
ROW|51|13|25|0
ROW|52|13|26|0
ROW|53|14|26|0
ROW|54|14|27|0
ROW|55|14|28|0
ROW|56|14|29|0
ROW|57|15|29|0
ROW|58|15|30|0
ROW|59|15|31|0
ROW|60|16|31|0
ROW|61|17|31|0
ROW|62|18|31|0
ROW|63|19|31|0
ROW|64|19|32|0
ROW|65|19|33|0
ROW|66|19|34|0
ROW|67|19|35|0
ROW|68|19|36|0
ROW|69|20|36|1
ROW|70|21|36|1
ROW|71|22|36|1
ROW|72|22|37|1
ROW|73|22|38|1
ROW|74|23|38|1
ROW|75|23|39|1
ROW|76|24|39|2
ROW|77|25|39|2
ROW|78|25|40|2
ROW|79|26|40|3
ROW|80|26|41|3
ROW|81|26|42|4
ROW|82|27|42|10
ROW|83|27|43|10
ROW|84|28|43|20
ROW|85|29|43|29
ROW|86|30|43|36
ROW|87|30|44|36
ROW|88|30|45|36
ROW|89|30|46|36
ROW|90|30|47|36
ROW|91|30|48|36
ROW|92|30|49|36
ROW|93|31|49|100
ROW|94|31|50|100
ROW|95|31|51|100
ROW|96|31|52|100
ROW|97|31|53|100
ROW|98|31|54|100
ROW|99|31|55|100
ROW|100|31|56|100

halt 1
