denominator	multiplicity	first_label	factorization
1	3656151	current_13_weight	[]
x	422	current_13_first_multipliers	[('x', 1)]
x^12	1	transport_chart_clear	[('x', 12)]
x^2	480	current_13_first_multipliers	[('x', 2)]
x^3	118	current_13_first_multipliers	[('x', 3)]
x^4	72	current_13_first_multipliers	[('x', 4)]
x^5	36	current_13_first_multipliers	[('x', 5)]
x^6	24	current_13_first_multipliers	[('x', 6)]
x^7	4	current_13_first_multipliers	[('x', 7)]
x^8	4	current_13_first_multipliers	[('x', 8)]
