path	sha256	start_utc	end_utc	final_status	exit_code	window_elapsed_seconds	full_elapsed_seconds
xmodel/f10-middle-rzero-gate-fable5-20260910.run.v2	cfbca8ace4c1c6d459be244f3dd02d18c19f17bc0181098af88c7d497bfc0596	2026-09-10T07:54:05Z	2026-09-10T08:01:21Z	DONE	0	436	436
xmodel/f10-r2-reconstruction-code-gate-fable5-20260910.run.v2	b1a6f44b15e68002fa1e4fe5b6a1ac440de350539fe60326c833091bdac15aa8	2026-09-10T09:31:18Z	2026-09-10T09:46:39Z	DONE	0	921	921
xmodel/f10-middle-real-runtime-gate-fable5-20260910.run.v2	e740fb2bf2bdf9c6641c228e0697b6616633f010436a7b5a7187a86ceb8fd588	2026-09-10T10:04:22Z	2026-09-10T10:17:31Z	DONE	0	789	789
xmodel/f10-r2-highest-modular-code-gate-fable5-20260910.run.v2	020888e65b466027b4d5900b4ee166601c78acb01bf61e32602bee564ee3e760	2026-09-10T15:30:07Z	2026-09-10T15:39:55Z	DONE	0	588	588
xmodel/f10-quotient-generic-r3-runtime-gate-fable5-20260910.run.v2	37b64683d147de48d4c96613f23f0cfe0446253c4bc724988e205dae1426bd1d	2026-09-10T02:24:16Z	2026-09-10T02:31:30Z	DONE	0	434	434
xmodel/f10-r2-compatibility-infinity-gate-fable5-20260910.run.v2	0333e2ce86d1a9c0d4561b25fae353ec974767c085a656241c598f5c3789ad51	2026-09-10T10:38:03Z	2026-09-10T10:47:18Z	DONE	0	555	555
xmodel/f10-r2-highest-modular-runtime-gate-fable5-20260910.run.v2	9ed70d1038190bd641666eca41dd88a58db243c8f1748005a4b7c280eed25cd8	2026-09-10T16:07:09Z	2026-09-10T16:15:34Z	DONE	0	505	505
xmodel/f10-middle-real-code-gate-fable5-20260910.run.v2	f1b00c293b8f2cc04ecaf12cf5ac6d94474a24f989e9db60232e01f35b461158	2026-09-10T09:16:37Z	2026-09-10T09:26:55Z	DONE	0	618	618
xmodel/f10-minimum-pivot-generic-runtime-gate-fable5-20260910.run.v2	6f7474e28e816e81699aef46e64053bb42f31cd92e1b8b4bc7a35975b653c651	2026-09-10T03:45:55Z	2026-09-10T03:50:25Z	DONE	0	270	270
xmodel/f10-r2-fullunit-modular-code-gate-fable5-20260910.run.v2	4cefbb0d0dad2bc25df4213ff7f66e41c433da6c02147cdc0755b27f9b33e85f	2026-09-10T16:43:16Z	2026-09-10T16:53:37Z	DONE	0	621	621
xmodel/f10-contact-gram-execution-relative-gate-fable5-20260910.run.v2	e0d4deefe26e503e3a255474d16703fc2ffb12268fdd1d7143ea364fe807ec31	2026-09-10T21:45:03Z	2026-09-10T21:53:46Z	DONE	0	523	523
xmodel/f10-r2-actual-result-gate-fable5-20260910.run.v2	a4f30c6c891f6e0c01a19c3781023ad6a1fa046f1ed6da7db75c3da85c373c95	2026-09-10T12:55:23Z	2026-09-10T13:03:29Z	DONE	0	486	486
